c_e_molm3,T_K,kappa_S_per_m,De_m2_per_s
100.000,273.15,2.536565e-01,4.473594e-10
119.192,273.15,2.937229e-01,4.401063e-10
138.384,273.15,3.318118e-01,4.329180e-10
157.576,273.15,3.680742e-01,4.257945e-10
176.768,273.15,4.026334e-01,4.187357e-10
195.960,273.15,4.355928e-01,4.117418e-10
215.152,273.15,4.670412e-01,4.048126e-10
234.343,273.15,4.970556e-01,3.979482e-10
253.535,273.15,5.257042e-01,3.911486e-10
272.727,273.15,5.530479e-01,3.844137e-10
291.919,273.15,5.791417e-01,3.777437e-10
311.111,273.15,6.040355e-01,3.711384e-10
330.303,273.15,6.277750e-01,3.645979e-10
349.495,273.15,6.504025e-01,3.581222e-10
368.687,273.15,6.719570e-01,3.517113e-10
387.879,273.15,6.924751e-01,3.453651e-10
407.071,273.15,7.119909e-01,3.390838e-10
426.263,273.15,7.305365e-01,3.328672e-10
445.455,273.15,7.481421e-01,3.267154e-10
464.646,273.15,7.648363e-01,3.206283e-10
483.838,273.15,7.806464e-01,3.146061e-10
503.030,273.15,7.955983e-01,3.086487e-10
522.222,273.15,8.097166e-01,3.027560e-10
541.414,273.15,8.230250e-01,2.969281e-10
560.606,273.15,8.355463e-01,2.911650e-10
579.798,273.15,8.473020e-01,2.854667e-10
598.990,273.15,8.583133e-01,2.798331e-10
618.182,273.15,8.686003e-01,2.742643e-10
637.374,273.15,8.781826e-01,2.687604e-10
656.566,273.15,8.870790e-01,2.633212e-10
675.758,273.15,8.953078e-01,2.579467e-10
694.949,273.15,9.028868e-01,2.526371e-10
714.141,273.15,9.098332e-01,2.473923e-10
733.333,273.15,9.161637e-01,2.422122e-10
752.525,273.15,9.218948e-01,2.370969e-10
771.717,273.15,9.270421e-01,2.320464e-10
790.909,273.15,9.316214e-01,2.270606e-10
810.101,273.15,9.356477e-01,2.221397e-10
829.293,273.15,9.391357e-01,2.172835e-10
848.485,273.15,9.421001e-01,2.124922e-10
