x,Up_V,Un_V,OCV_V
0.00100000,4.67769531,2.30713653,2.37055878
0.00149900,4.67728877,2.27012003,2.40716874
0.00199800,4.67688218,2.23382332,2.44305885
0.00249700,4.67647555,2.19823241,2.47824314
0.00299600,4.67606887,2.16333355,2.51273533
0.00349500,4.67566216,2.12911327,2.54654888
0.00399400,4.67525540,2.09555839,2.57969701
0.00449300,4.67484859,2.06265593,2.61219266
0.00499200,4.67444174,2.03039322,2.64404853
0.00549100,4.67403485,1.99875779,2.67527706
0.00599000,4.67362791,1.96773745,2.70589046
0.00648900,4.67322092,1.93732021,2.73590071
0.00698800,4.67281388,1.90749435,2.76531954
0.00748700,4.67240680,1.87824834,2.79415846
0.00798600,4.67199967,1.84957092,2.82242875
0.00848500,4.67159248,1.82145100,2.85014149
0.00898400,4.67118525,1.79387773,2.87730752
0.00948300,4.67077797,1.76684048,2.90393749
0.00998200,4.67037063,1.74032881,2.93004182
0.01048100,4.66996324,1.71433249,2.95563076
0.01098000,4.66955580,1.68884148,2.98071432
0.01147900,4.66914830,1.66384594,3.00530236
0.01197800,4.66874075,1.63933624,3.02940451
0.01247700,4.66833315,1.61530291,3.05303024
0.01297600,4.66792548,1.59173666,3.07618882
0.01347500,4.66751776,1.56862842,3.09888934
0.01397400,4.66710998,1.54596925,3.12114073
0.01447300,4.66670215,1.52375042,3.14295173
0.01497200,4.66629425,1.50196334,3.16433091
0.01547100,4.66588629,1.48059960,3.18528669
0.01597000,4.66547827,1.45965096,3.20582731
0.01646900,4.66507019,1.43910934,3.22596085
0.01696800,4.66466205,1.41896679,3.24569525
0.01746700,4.66425384,1.39921555,3.26503829
0.01796600,4.66384556,1.37984799,3.28399757
0.01846500,4.66343722,1.36085663,3.30258059
0.01896400,4.66302882,1.34223415,3.32079467
0.01946300,4.66262034,1.32397334,3.33864700
0.01996200,4.66221180,1.30606717,3.35614463
0.02046100,4.66180318,1.28850871,3.37329448
0.02096000,4.66139450,1.27129118,3.39010332
0.02145900,4.66098575,1.25440794,3.40657780
0.02195800,4.66057692,1.23785247,3.42272444
0.02245700,4.66016801,1.22161838,3.43854964
0.02295600,4.65975904,1.20569939,3.45405965
0.02345500,4.65934998,1.19008935,3.46926063
0.02395400,4.65894085,1.17478224,3.48415861
0.02445300,4.65853165,1.15977214,3.49875950
0.02495200,4.65812236,1.14505326,3.51306910
0.02545100,4.65771299,1.13061991,3.52709308
0.02595000,4.65730354,1.11646651,3.54083703
0.02644900,4.65689401,1.10258760,3.55430641
0.02694800,4.65648439,1.08897781,3.56750659
0.02744700,4.65607469,1.07563188,3.58044281
0.02794600,4.65566490,1.06254466,3.59312025
0.02844500,4.65525503,1.04971108,3.60554395
0.02894400,4.65484507,1.03712620,3.61771887
0.02944300,4.65443501,1.02478513,3.62964988
0.02994200,4.65402487,1.01268312,3.64134175
0.03044100,4.65361463,1.00081548,3.65279915
0.03094000,4.65320430,0.98917763,3.66402667
0.03143900,4.65279388,0.97776506,3.67502881
0.03193800,4.65238336,0.96657337,3.68580999
0.03243700,4.65197274,0.95559821,3.69637452
0.03293600,4.65156202,0.94483535,3.70672666
0.03343500,4.65115120,0.93428063,3.71687057
0.03393400,4.65074028,0.92392995,3.72681032
0.03443300,4.65032925,0.91377932,3.73654993
0.03493200,4.64991812,0.90382480,3.74609332
0.03543100,4.64950688,0.89406255,3.75544434
0.03593000,4.64909554,0.88448877,3.76460676
0.03642900,4.64868409,0.87509978,3.77358431
0.03692800,4.64827252,0.86589192,3.78238061
0.03742700,4.64786084,0.85686163,3.79099922
0.03792600,4.64744905,0.84800541,3.79944364
0.03842500,4.64703715,0.83931984,3.80771731
0.03892400,4.64662512,0.83080154,3.81582358
0.03942300,4.64621298,0.82244722,3.82376576
0.03992200,4.64580072,0.81425362,3.83154709
0.04042100,4.64538833,0.80621758,3.83917074
0.04092000,4.64497582,0.79833598,3.84663983
0.04141900,4.64456318,0.79060576,3.85395742
0.04191800,4.64415042,0.78302392,3.86112650
0.04241700,4.64373753,0.77558751,3.86815001
0.04291600,4.64332450,0.76829365,3.87503085
0.04341500,4.64291134,0.76113950,3.88177184
0.04391400,4.64249805,0.75412229,3.88837576
0.04441300,4.64208462,0.74723928,3.89484535
0.04491200,4.64167105,0.74048779,3.90118326
0.04541100,4.64125735,0.73386521,3.90739214
0.04591000,4.64084349,0.72736895,3.91347455
0.04640900,4.64042950,0.72099648,3.91943302
0.04690800,4.64001536,0.71474533,3.92527003
0.04740700,4.63960107,0.70861305,3.93098802
0.04790600,4.63918662,0.70259725,3.93658937
0.04840500,4.63877203,0.69669560,3.94207643
0.04890400,4.63835728,0.69090578,3.94745150
0.04940300,4.63794237,0.68522553,3.95271684
0.04990200,4.63752730,0.67965265,3.95787466
0.05040100,4.63711208,0.67418493,3.96292714
0.05090000,4.63669668,0.66882026,3.96787642
0.05139900,4.63628112,0.66355653,3.97272459
0.05189800,4.63586540,0.65839168,3.97747372
0.05239700,4.63544950,0.65332368,3.98212582
0.05289600,4.63503343,0.64835055,3.98668288
0.05339500,4.63461718,0.64347033,3.99114685
0.05389400,4.63420076,0.63868112,3.99551964
0.05439300,4.63378415,0.63398102,3.99980313
0.05489200,4.63336736,0.62936820,4.00399917
0.05539100,4.63295039,0.62484082,4.00810956
0.05589000,4.63253322,0.62039712,4.01213610
0.05638900,4.63211587,0.61603534,4.01608053
0.05688800,4.63169832,0.61175376,4.01994456
0.05738700,4.63128058,0.60755068,4.02372990
0.05788600,4.63086263,0.60342445,4.02743818
0.05838500,4.63044449,0.59937343,4.03107106
0.05888400,4.63002614,0.59539602,4.03463012
0.05938300,4.62960758,0.59149064,4.03811694
0.05988200,4.62918882,0.58765574,4.04153308
0.06038100,4.62876984,0.58388980,4.04488004
0.06088000,4.62835064,0.58019131,4.04815933
0.06137900,4.62793122,0.57655881,4.05137242
0.06187800,4.62751159,0.57299084,4.05452074
0.06237700,4.62709172,0.56948599,4.05760573
0.06287600,4.62667163,0.56604285,4.06062879
0.06337500,4.62625131,0.56266003,4.06359127
0.06387400,4.62583075,0.55933620,4.06649455
0.06437300,4.62540995,0.55607000,4.06933995
0.06487200,4.62498891,0.55286014,4.07212877
0.06537100,4.62456763,0.54970531,4.07486232
0.06587000,4.62414610,0.54660425,4.07754185
0.06636900,4.62372432,0.54355571,4.08016861
0.06686800,4.62330228,0.54055845,4.08274384
0.06736700,4.62287998,0.53761125,4.08526873
0.06786600,4.62245743,0.53471293,4.08774449
0.06836500,4.62203460,0.53186232,4.09017229
0.06886400,4.62161151,0.52905824,4.09255327
0.06936300,4.62118814,0.52629956,4.09488859
0.06986200,4.62076450,0.52358515,4.09717935
0.07036100,4.62034057,0.52091391,4.09942666
0.07086000,4.61991636,0.51828474,4.10163162
0.07135900,4.61949187,0.51569658,4.10379529
0.07185800,4.61906708,0.51314835,4.10591873
0.07235700,4.61864199,0.51063901,4.10800298
0.07285600,4.61821660,0.50816753,4.11004908
0.07335500,4.61779091,0.50573289,4.11205802
0.07385400,4.61736491,0.50333409,4.11403081
0.07435300,4.61693859,0.50097015,4.11596844
0.07485200,4.61651196,0.49864008,4.11787188
0.07535100,4.61608501,0.49634293,4.11974208
0.07585000,4.61565773,0.49407774,4.12157999
0.07634900,4.61523012,0.49184357,4.12338654
0.07684800,4.61480217,0.48963951,4.12516266
0.07734700,4.61437388,0.48746464,4.12690924
0.07784600,4.61394525,0.48531806,4.12862719
0.07834500,4.61351627,0.48319888,4.13031739
0.07884400,4.61308694,0.48110623,4.13198071
0.07934300,4.61265724,0.47903923,4.13361801
0.07984200,4.61222718,0.47699704,4.13523015
0.08034100,4.61179676,0.47497880,4.13681795
0.08084000,4.61136596,0.47298370,4.13838226
0.08133900,4.61093478,0.47101089,4.13992388
0.08183800,4.61050321,0.46905959,4.14144362
0.08233700,4.61007126,0.46712897,4.14294229
0.08283600,4.60963891,0.46521826,4.14442065
0.08333500,4.60920616,0.46332668,4.14587949
0.08383400,4.60877301,0.46145344,4.14731957
0.08433300,4.60833944,0.45959781,4.14874164
0.08483200,4.60790546,0.45775901,4.15014645
0.08533100,4.60747106,0.45593633,4.15153473
0.08583000,4.60703622,0.45412903,4.15290720
0.08632900,4.60660096,0.45233638,4.15426457
0.08682800,4.60616525,0.45055770,4.15560755
0.08732700,4.60572910,0.44879227,4.15693683
0.08782600,4.60529249,0.44703941,4.15825308
0.08832500,4.60485543,0.44529845,4.15955698
0.08882400,4.60441790,0.44356873,4.16084918
0.08932300,4.60397990,0.44184958,4.16213033
0.08982200,4.60354143,0.44014037,4.16340106
