x,T_K,Dn_m2_per_s,Dp_m2_per_s
0.001000,273.15,4.000000e-15,4.000000e-15
0.006015,273.15,4.000000e-15,4.000000e-15
0.011030,273.15,4.000000e-15,4.000000e-15
0.016045,273.15,4.000000e-15,4.000000e-15
0.021060,273.15,4.000000e-15,4.000000e-15
0.026075,273.15,4.000000e-15,4.000000e-15
0.031090,273.15,4.000000e-15,4.000000e-15
0.036106,273.15,4.000000e-15,4.000000e-15
0.041121,273.15,4.000000e-15,4.000000e-15
0.046136,273.15,4.000000e-15,4.000000e-15
0.051151,273.15,4.000000e-15,4.000000e-15
0.056166,273.15,4.000000e-15,4.000000e-15
0.061181,273.15,4.000000e-15,4.000000e-15
0.066196,273.15,4.000000e-15,4.000000e-15
0.071211,273.15,4.000000e-15,4.000000e-15
0.076226,273.15,4.000000e-15,4.000000e-15
0.081241,273.15,4.000000e-15,4.000000e-15
0.086256,273.15,4.000000e-15,4.000000e-15
0.091271,273.15,4.000000e-15,4.000000e-15
0.096286,273.15,4.000000e-15,4.000000e-15
0.101302,273.15,4.000000e-15,4.000000e-15
0.106317,273.15,4.000000e-15,4.000000e-15
0.111332,273.15,4.000000e-15,4.000000e-15
0.116347,273.15,4.000000e-15,4.000000e-15
0.121362,273.15,4.000000e-15,4.000000e-15
0.126377,273.15,4.000000e-15,4.000000e-15
0.131392,273.15,4.000000e-15,4.000000e-15
0.136407,273.15,4.000000e-15,4.000000e-15
0.141422,273.15,4.000000e-15,4.000000e-15
0.146437,273.15,4.000000e-15,4.000000e-15
0.151452,273.15,4.000000e-15,4.000000e-15
0.156467,273.15,4.000000e-15,4.000000e-15
0.161482,273.15,4.000000e-15,4.000000e-15
0.166497,273.15,4.000000e-15,4.000000e-15
0.171513,273.15,4.000000e-15,4.000000e-15
0.176528,273.15,4.000000e-15,4.000000e-15
0.181543,273.15,4.000000e-15,4.000000e-15
0.186558,273.15,4.000000e-15,4.000000e-15
0.191573,273.15,4.000000e-15,4.000000e-15
0.196588,273.15,4.000000e-15,4.000000e-15
0.201603,273.15,4.000000e-15,4.000000e-15
0.206618,273.15,4.000000e-15,4.000000e-15
0.211633,273.15,4.000000e-15,4.000000e-15
0.216648,273.15,4.000000e-15,4.000000e-15
0.221663,273.15,4.000000e-15,4.000000e-15
0.226678,273.15,4.000000e-15,4.000000e-15
0.231693,273.15,4.000000e-15,4.000000e-15
0.236709,273.15,4.000000e-15,4.000000e-15
0.241724,273.15,4.000000e-15,4.000000e-15
0.246739,273.15,4.000000e-15,4.000000e-15
0.251754,273.15,4.000000e-15,4.000000e-15
0.256769,273.15,4.000000e-15,4.000000e-15
0.261784,273.15,4.000000e-15,4.000000e-15
0.266799,273.15,4.000000e-15,4.000000e-15
0.271814,273.15,4.000000e-15,4.000000e-15
0.276829,273.15,4.000000e-15,4.000000e-15
0.281844,273.15,4.000000e-15,4.000000e-15
0.286859,273.15,4.000000e-15,4.000000e-15
0.291874,273.15,4.000000e-15,4.000000e-15
0.296889,273.15,4.000000e-15,4.000000e-15
0.301905,273.15,4.000000e-15,4.000000e-15
0.306920,273.15,4.000000e-15,4.000000e-15
0.311935,273.15,4.000000e-15,4.000000e-15
0.316950,273.15,4.000000e-15,4.000000e-15
0.321965,273.15,4.000000e-15,4.000000e-15
0.326980,273.15,4.000000e-15,4.000000e-15
0.331995,273.15,4.000000e-15,4.000000e-15
0.337010,273.15,4.000000e-15,4.000000e-15
0.342025,273.15,4.000000e-15,4.000000e-15
0.347040,273.15,4.000000e-15,4.000000e-15
0.352055,273.15,4.000000e-15,4.000000e-15
0.357070,273.15,4.000000e-15,4.000000e-15
0.362085,273.15,4.000000e-15,4.000000e-15
0.367101,273.15,4.000000e-15,4.000000e-15
0.372116,273.15,4.000000e-15,4.000000e-15
0.377131,273.15,4.000000e-15,4.000000e-15
0.382146,273.15,4.000000e-15,4.000000e-15
0.387161,273.15,4.000000e-15,4.000000e-15
0.392176,273.15,4.000000e-15,4.000000e-15
0.397191,273.15,4.000000e-15,4.000000e-15
0.402206,273.15,4.000000e-15,4.000000e-15
0.407221,273.15,4.000000e-15,4.000000e-15
0.412236,273.15,4.000000e-15,4.000000e-15
0.417251,273.15,4.000000e-15,4.000000e-15
0.422266,273.15,4.000000e-15,4.000000e-15
0.427281,273.15,4.000000e-15,4.000000e-15
0.432296,273.15,4.000000e-15,4.000000e-15
0.437312,273.15,4.000000e-15,4.000000e-15
0.442327,273.15,4.000000e-15,4.000000e-15
0.447342,273.15,4.000000e-15,4.000000e-15
0.452357,273.15,4.000000e-15,4.000000e-15
0.457372,273.15,4.000000e-15,4.000000e-15
0.462387,273.15,4.000000e-15,4.000000e-15
0.467402,273.15,4.000000e-15,4.000000e-15
0.472417,273.15,4.000000e-15,4.000000e-15
0.477432,273.15,4.000000e-15,4.000000e-15
0.482447,273.15,4.000000e-15,4.000000e-15
0.487462,273.15,4.000000e-15,4.000000e-15
0.492477,273.15,4.000000e-15,4.000000e-15
0.497492,273.15,4.000000e-15,4.000000e-15
0.502508,273.15,4.000000e-15,4.000000e-15
0.507523,273.15,4.000000e-15,4.000000e-15
0.512538,273.15,4.000000e-15,4.000000e-15
0.517553,273.15,4.000000e-15,4.000000e-15
0.522568,273.15,4.000000e-15,4.000000e-15
0.527583,273.15,4.000000e-15,4.000000e-15
0.532598,273.15,4.000000e-15,4.000000e-15
0.537613,273.15,4.000000e-15,4.000000e-15
0.542628,273.15,4.000000e-15,4.000000e-15
0.547643,273.15,4.000000e-15,4.000000e-15
0.552658,273.15,4.000000e-15,4.000000e-15
0.557673,273.15,4.000000e-15,4.000000e-15
0.562688,273.15,4.000000e-15,4.000000e-15
0.567704,273.15,4.000000e-15,4.000000e-15
0.572719,273.15,4.000000e-15,4.000000e-15
0.577734,273.15,4.000000e-15,4.000000e-15
0.582749,273.15,4.000000e-15,4.000000e-15
0.587764,273.15,4.000000e-15,4.000000e-15
0.592779,273.15,4.000000e-15,4.000000e-15
0.597794,273.15,4.000000e-15,4.000000e-15
0.602809,273.15,4.000000e-15,4.000000e-15
0.607824,273.15,4.000000e-15,4.000000e-15
0.612839,273.15,4.000000e-15,4.000000e-15
0.617854,273.15,4.000000e-15,4.000000e-15
0.622869,273.15,4.000000e-15,4.000000e-15
0.627884,273.15,4.000000e-15,4.000000e-15
0.632899,273.15,4.000000e-15,4.000000e-15
0.637915,273.15,4.000000e-15,4.000000e-15
0.642930,273.15,4.000000e-15,4.000000e-15
0.647945,273.15,4.000000e-15,4.000000e-15
0.652960,273.15,4.000000e-15,4.000000e-15
0.657975,273.15,4.000000e-15,4.000000e-15
0.662990,273.15,4.000000e-15,4.000000e-15
0.668005,273.15,4.000000e-15,4.000000e-15
0.673020,273.15,4.000000e-15,4.000000e-15
0.678035,273.15,4.000000e-15,4.000000e-15
0.683050,273.15,4.000000e-15,4.000000e-15
0.688065,273.15,4.000000e-15,4.000000e-15
0.693080,273.15,4.000000e-15,4.000000e-15
0.698095,273.15,4.000000e-15,4.000000e-15
0.703111,273.15,4.000000e-15,4.000000e-15
0.708126,273.15,4.000000e-15,4.000000e-15
0.713141,273.15,4.000000e-15,4.000000e-15
0.718156,273.15,4.000000e-15,4.000000e-15
0.723171,273.15,4.000000e-15,4.000000e-15
0.728186,273.15,4.000000e-15,4.000000e-15
0.733201,273.15,4.000000e-15,4.000000e-15
0.738216,273.15,4.000000e-15,4.000000e-15
0.743231,273.15,4.000000e-15,4.000000e-15
0.748246,273.15,4.000000e-15,4.000000e-15
0.753261,273.15,4.000000e-15,4.000000e-15
0.758276,273.15,4.000000e-15,4.000000e-15
0.763291,273.15,4.000000e-15,4.000000e-15
0.768307,273.15,4.000000e-15,4.000000e-15
0.773322,273.15,4.000000e-15,4.000000e-15
0.778337,273.15,4.000000e-15,4.000000e-15
0.783352,273.15,4.000000e-15,4.000000e-15
0.788367,273.15,4.000000e-15,4.000000e-15
0.793382,273.15,4.000000e-15,4.000000e-15
0.798397,273.15,4.000000e-15,4.000000e-15
0.803412,273.15,4.000000e-15,4.000000e-15
0.808427,273.15,4.000000e-15,4.000000e-15
0.813442,273.15,4.000000e-15,4.000000e-15
0.818457,273.15,4.000000e-15,4.000000e-15
0.823472,273.15,4.000000e-15,4.000000e-15
0.828487,273.15,4.000000e-15,4.000000e-15
0.833503,273.15,4.000000e-15,4.000000e-15
0.838518,273.15,4.000000e-15,4.000000e-15
0.843533,273.15,4.000000e-15,4.000000e-15
0.848548,273.15,4.000000e-15,4.000000e-15
0.853563,273.15,4.000000e-15,4.000000e-15
0.858578,273.15,4.000000e-15,4.000000e-15
0.863593,273.15,4.000000e-15,4.000000e-15
0.868608,273.15,4.000000e-15,4.000000e-15
0.873623,273.15,4.000000e-15,4.000000e-15
0.878638,273.15,4.000000e-15,4.000000e-15
0.883653,273.15,4.000000e-15,4.000000e-15
0.888668,273.15,4.000000e-15,4.000000e-15
0.893683,273.15,4.000000e-15,4.000000e-15
0.898698,273.15,4.000000e-15,4.000000e-15
0.903714,273.15,4.000000e-15,4.000000e-15
0.908729,273.15,4.000000e-15,4.000000e-15
0.913744,273.15,4.000000e-15,4.000000e-15
0.918759,273.15,4.000000e-15,4.000000e-15
0.923774,273.15,4.000000e-15,4.000000e-15
0.928789,273.15,4.000000e-15,4.000000e-15
0.933804,273.15,4.000000e-15,4.000000e-15
0.938819,273.15,4.000000e-15,4.000000e-15
0.943834,273.15,4.000000e-15,4.000000e-15
0.948849,273.15,4.000000e-15,4.000000e-15
0.953864,273.15,4.000000e-15,4.000000e-15
0.958879,273.15,4.000000e-15,4.000000e-15
0.963894,273.15,4.000000e-15,4.000000e-15
0.968910,273.15,4.000000e-15,4.000000e-15
0.973925,273.15,4.000000e-15,4.000000e-15
0.978940,273.15,4.000000e-15,4.000000e-15
0.983955,273.15,4.000000e-15,4.000000e-15
0.988970,273.15,4.000000e-15,4.000000e-15
0.993985,273.15,4.000000e-15,4.000000e-15
0.999000,273.15,4.000000e-15,4.000000e-15
0.001000,298.00,4.000000e-15,4.000000e-15
0.006015,298.00,4.000000e-15,4.000000e-15
0.011030,298.00,4.000000e-15,4.000000e-15
0.016045,298.00,4.000000e-15,4.000000e-15
0.021060,298.00,4.000000e-15,4.000000e-15
0.026075,298.00,4.000000e-15,4.000000e-15
0.031090,298.00,4.000000e-15,4.000000e-15
0.036106,298.00,4.000000e-15,4.000000e-15
0.041121,298.00,4.000000e-15,4.000000e-15
0.046136,298.00,4.000000e-15,4.000000e-15
0.051151,298.00,4.000000e-15,4.000000e-15
0.056166,298.00,4.000000e-15,4.000000e-15
0.061181,298.00,4.000000e-15,4.000000e-15
0.066196,298.00,4.000000e-15,4.000000e-15
0.071211,298.00,4.000000e-15,4.000000e-15
0.076226,298.00,4.000000e-15,4.000000e-15
0.081241,298.00,4.000000e-15,4.000000e-15
0.086256,298.00,4.000000e-15,4.000000e-15
0.091271,298.00,4.000000e-15,4.000000e-15
0.096286,298.00,4.000000e-15,4.000000e-15
0.101302,298.00,4.000000e-15,4.000000e-15
0.106317,298.00,4.000000e-15,4.000000e-15
0.111332,298.00,4.000000e-15,4.000000e-15
0.116347,298.00,4.000000e-15,4.000000e-15
0.121362,298.00,4.000000e-15,4.000000e-15
0.126377,298.00,4.000000e-15,4.000000e-15
0.131392,298.00,4.000000e-15,4.000000e-15
0.136407,298.00,4.000000e-15,4.000000e-15
0.141422,298.00,4.000000e-15,4.000000e-15
0.146437,298.00,4.000000e-15,4.000000e-15
0.151452,298.00,4.000000e-15,4.000000e-15
0.156467,298.00,4.000000e-15,4.000000e-15
0.161482,298.00,4.000000e-15,4.000000e-15
0.166497,298.00,4.000000e-15,4.000000e-15
0.171513,298.00,4.000000e-15,4.000000e-15
0.176528,298.00,4.000000e-15,4.000000e-15
0.181543,298.00,4.000000e-15,4.000000e-15
0.186558,298.00,4.000000e-15,4.000000e-15
0.191573,298.00,4.000000e-15,4.000000e-15
0.196588,298.00,4.000000e-15,4.000000e-15
0.201603,298.00,4.000000e-15,4.000000e-15
0.206618,298.00,4.000000e-15,4.000000e-15
0.211633,298.00,4.000000e-15,4.000000e-15
0.216648,298.00,4.000000e-15,4.000000e-15
0.221663,298.00,4.000000e-15,4.000000e-15
0.226678,298.00,4.000000e-15,4.000000e-15
0.231693,298.00,4.000000e-15,4.000000e-15
0.236709,298.00,4.000000e-15,4.000000e-15
0.241724,298.00,4.000000e-15,4.000000e-15
0.246739,298.00,4.000000e-15,4.000000e-15
0.251754,298.00,4.000000e-15,4.000000e-15
0.256769,298.00,4.000000e-15,4.000000e-15
0.261784,298.00,4.000000e-15,4.000000e-15
0.266799,298.00,4.000000e-15,4.000000e-15
0.271814,298.00,4.000000e-15,4.000000e-15
0.276829,298.00,4.000000e-15,4.000000e-15
0.281844,298.00,4.000000e-15,4.000000e-15
0.286859,298.00,4.000000e-15,4.000000e-15
0.291874,298.00,4.000000e-15,4.000000e-15
0.296889,298.00,4.000000e-15,4.000000e-15
0.301905,298.00,4.000000e-15,4.000000e-15
0.306920,298.00,4.000000e-15,4.000000e-15
0.311935,298.00,4.000000e-15,4.000000e-15
0.316950,298.00,4.000000e-15,4.000000e-15
0.321965,298.00,4.000000e-15,4.000000e-15
0.326980,298.00,4.000000e-15,4.000000e-15
0.331995,298.00,4.000000e-15,4.000000e-15
0.337010,298.00,4.000000e-15,4.000000e-15
0.342025,298.00,4.000000e-15,4.000000e-15
0.347040,298.00,4.000000e-15,4.000000e-15
0.352055,298.00,4.000000e-15,4.000000e-15
0.357070,298.00,4.000000e-15,4.000000e-15
0.362085,298.00,4.000000e-15,4.000000e-15
0.367101,298.00,4.000000e-15,4.000000e-15
0.372116,298.00,4.000000e-15,4.000000e-15
0.377131,298.00,4.000000e-15,4.000000e-15
0.382146,298.00,4.000000e-15,4.000000e-15
0.387161,298.00,4.000000e-15,4.000000e-15
0.392176,298.00,4.000000e-15,4.000000e-15
0.397191,298.00,4.000000e-15,4.000000e-15
0.402206,298.00,4.000000e-15,4.000000e-15
0.407221,298.00,4.000000e-15,4.000000e-15
0.412236,298.00,4.000000e-15,4.000000e-15
0.417251,298.00,4.000000e-15,4.000000e-15
0.422266,298.00,4.000000e-15,4.000000e-15
0.427281,298.00,4.000000e-15,4.000000e-15
0.432296,298.00,4.000000e-15,4.000000e-15
0.437312,298.00,4.000000e-15,4.000000e-15
0.442327,298.00,4.000000e-15,4.000000e-15
0.447342,298.00,4.000000e-15,4.000000e-15
0.452357,298.00,4.000000e-15,4.000000e-15
0.457372,298.00,4.000000e-15,4.000000e-15
0.462387,298.00,4.000000e-15,4.000000e-15
0.467402,298.00,4.000000e-15,4.000000e-15
0.472417,298.00,4.000000e-15,4.000000e-15
0.477432,298.00,4.000000e-15,4.000000e-15
0.482447,298.00,4.000000e-15,4.000000e-15
0.487462,298.00,4.000000e-15,4.000000e-15
0.492477,298.00,4.000000e-15,4.000000e-15
0.497492,298.00,4.000000e-15,4.000000e-15
0.502508,298.00,4.000000e-15,4.000000e-15
0.507523,298.00,4.000000e-15,4.000000e-15
0.512538,298.00,4.000000e-15,4.000000e-15
0.517553,298.00,4.000000e-15,4.000000e-15
0.522568,298.00,4.000000e-15,4.000000e-15
0.527583,298.00,4.000000e-15,4.000000e-15
