name,value
Positive electrode thickness [m],7.56e-05
Negative electrode thickness [m],8.52e-05
Separator thickness [m],1.2e-05
Positive electrode porosity,0.335
Negative electrode porosity,0.25
Separator porosity,0.47
Positive electrode Bruggeman coefficient (electrode),0
Negative electrode Bruggeman coefficient (electrode),0
Positive particle radius [m],5.22e-06
Negative particle radius [m],5.86e-06
Reference temperature [K],298.15
Ambient temperature [K],298.15
Cation transference number,0.2594
