x,Up_V,Un_V,OCV_V,Up_nd,Un_nd,OCV_nd
0.00100000,4.67769531,2.30721344,2.37048187,182.15570477,89.84597389,92.30973088
0.00149900,4.67728877,2.27019545,2.40709332,182.13987328,88.40444358,93.73542970
0.00199800,4.67688218,2.23389727,2.44298490,182.12404018,86.99094421,95.13309597
0.00249700,4.67647555,2.19830492,2.47817063,182.10820545,85.60493035,96.50327509
0.00299600,4.67606887,2.16340465,2.51266423,182.09236906,84.24586716,97.84650190
0.00349500,4.67566216,2.12918299,2.54647917,182.07653099,82.91323020,99.16330079
0.00399400,4.67525540,2.09562675,2.57962865,182.06069122,81.60650522,100.45418599
0.00449300,4.67484859,2.06272296,2.61212563,182.04484972,80.32518798,101.71966174
0.00499200,4.67444174,2.03045895,2.64398280,182.02900646,79.06878401,102.96022245
0.00549100,4.67403485,1.99882224,2.67521261,182.01316144,77.83680849,104.17635295
0.00599000,4.67362791,1.96780064,2.70582726,181.99731460,76.62878599,105.36852861
0.00648900,4.67322092,1.93738218,2.73583874,181.98146594,75.44425033,106.53721561
0.00698800,4.67281388,1.90755511,2.76525878,181.96561543,74.28274440,107.68287103
0.00748700,4.67240680,1.87830792,2.79409888,181.94976303,73.14381995,108.80594308
0.00798600,4.67199967,1.84962934,2.82237033,181.93390872,72.02703745,109.90687127
0.00848500,4.67159248,1.82150828,2.85008420,181.91805248,70.93196593,110.98608655
0.00898400,4.67118525,1.79393390,2.87725135,181.90219428,69.85818277,112.04401152
0.00948300,4.67077797,1.76689556,2.90388241,181.88633409,68.80527355,113.08106054
0.00998200,4.67037063,1.74038282,2.92998782,181.87047187,67.77283194,114.09763994
0.01048100,4.66996324,1.71438544,2.95557780,181.85460761,66.76045946,115.09414815
0.01098000,4.66955580,1.68889340,2.98066240,181.83874127,65.76776540,116.07097587
0.01147900,4.66914830,1.66389686,3.00525144,181.82287282,64.79436663,117.02850619
0.01197800,4.66874075,1.63938617,3.02935459,181.80700224,63.83988746,117.96711478
0.01247700,4.66833315,1.61535186,3.05298129,181.79112949,62.90395949,118.88717000
0.01297600,4.66792548,1.59178467,3.07614082,181.77525454,61.98622149,119.78903305
0.01347500,4.66751776,1.56867549,3.09884227,181.75937736,61.08631922,120.67305814
0.01397400,4.66710998,1.54601541,3.12109458,181.74349792,60.20390535,121.53959257
0.01447300,4.66670215,1.52379567,3.14290647,181.72761618,59.33863925,122.38897693
0.01497200,4.66629425,1.50200771,3.16428654,181.71173212,58.49018695,123.22154517
0.01547100,4.66588629,1.48064311,3.18524318,181.69584570,57.65822093,124.03762477
0.01597000,4.66547827,1.45969363,3.20578464,181.67995689,56.84242003,124.83753686
0.01646900,4.66507019,1.43915117,3.22591902,181.66406564,56.04246933,125.62159632
0.01696800,4.66466205,1.41900781,3.24565423,181.64817194,55.25806002,126.39011193
0.01746700,4.66425384,1.39925578,3.26499806,181.63227574,54.48888927,127.14338647
0.01796600,4.66384556,1.37988743,3.28395813,181.61637701,53.73466015,127.88171685
0.01846500,4.66343722,1.36089531,3.30254191,181.60047571,52.99508147,128.60539424
0.01896400,4.66302882,1.34227207,3.32075675,181.58457180,52.26986768,129.31470412
0.01946300,4.66262034,1.32401053,3.33860981,181.56866525,51.55873878,130.00992647
0.01996200,4.66221180,1.30610363,3.35610817,181.55275603,50.86142020,130.69133583
0.02046100,4.66180318,1.28854446,3.37325873,181.53684408,50.17764268,131.35920140
0.02096000,4.66139450,1.27132624,3.39006826,181.52092938,49.50714220,132.01378718
0.02145900,4.66098575,1.25444232,3.40654343,181.50501189,48.84965983,132.65535206
0.02195800,4.66057692,1.23788618,3.42269074,181.48909156,48.20494167,133.28414989
0.02245700,4.66016801,1.22165143,3.43851659,181.47316835,47.57273874,133.90042962
0.02295600,4.65975904,1.20573179,3.45402724,181.45724223,46.95280687,134.50443536
0.02345500,4.65934998,1.19012113,3.46922886,181.44131315,46.34490664,135.09640651
0.02395400,4.65894085,1.17481340,3.48412746,181.42538107,45.74880325,135.67657783
0.02445300,4.65853165,1.15980270,3.49872895,181.40944595,45.16426643,136.24517952
