coh_id,n1_bot,n2_bot,n4_top,n3_top,length,interface_type
1,3787,3788,34075,34076,1.2048161798855571e-8,PE_PCC
2,3788,3789,34076,34077,1.2060675078767945e-8,PE_PCC
3,3789,3790,34077,34078,1.2073188370168099e-8,PE_PCC
4,3790,3791,34078,34079,1.208570167302035e-8,PE_PCC
5,3791,3792,34079,34080,1.2098214987289175e-8,PE_PCC
6,3792,3793,34080,34081,1.2110728312939199e-8,PE_PCC
7,3793,3794,34081,34082,1.2123241649935135e-8,PE_PCC
8,3794,3795,34082,34083,1.2135754998241912e-8,PE_PCC
9,3795,3796,34083,34084,1.2148268357824597e-8,PE_PCC
10,3796,3797,34084,34085,1.2160781728648355e-8,PE_PCC
11,3797,3798,34085,34086,1.2173295110678515e-8,PE_PCC
12,3798,3799,34086,34087,1.2185808503880603e-8,PE_PCC
13,3799,3800,34087,34088,1.2198321908220132e-8,PE_PCC
14,3800,3801,34088,34089,1.2210835323663031e-8,PE_PCC
15,3801,3802,34089,34090,1.2223348750174976e-8,PE_PCC
16,3802,3803,34090,34091,1.2235862187722254e-8,PE_PCC
17,3803,3804,34091,34092,1.2248375636270906e-8,PE_PCC
18,3804,3805,34092,34093,1.2260889095787148e-8,PE_PCC
19,3805,3806,34093,34094,1.2273402566237637e-8,PE_PCC
20,3806,3807,34094,34095,1.2285916047588858e-8,PE_PCC
21,3807,3808,34095,34096,1.229842953980756e-8,PE_PCC
22,3808,3809,34096,34097,1.2310943042860536e-8,PE_PCC
23,3809,3810,34097,34098,1.2323456556714982e-8,PE_PCC
24,3810,3811,34098,34099,1.2335970081337698e-8,PE_PCC
25,3811,3812,34099,34100,1.2348483616696278e-8,PE_PCC
26,3812,3813,34100,34101,1.2360997162757971e-8,PE_PCC
27,3813,3814,34101,34102,1.23735107194902e-8,PE_PCC
28,3814,3815,34102,34103,1.238602428686084e-8,PE_PCC
29,3815,3816,34103,34104,1.239853786483753e-8,PE_PCC
30,3816,3817,34104,34105,1.2411051453388143e-8,PE_PCC
31,3817,3818,34105,34106,1.242356505248097e-8,PE_PCC
32,3818,3819,34106,34107,1.2436078662084003e-8,PE_PCC
33,3819,3820,34107,34108,1.2448592282165515e-8,PE_PCC
34,3820,3821,34108,34109,1.2461105912694065e-8,PE_PCC
35,3821,3822,34109,34110,1.2473619553637988e-8,PE_PCC
36,3822,3823,34110,34111,1.2486133204966354e-8,PE_PCC
37,3823,3824,34111,34112,1.249864686664762e-8,PE_PCC
38,3824,3825,34112,34113,1.251116053865085e-8,PE_PCC
39,3825,3826,34113,34114,1.2523674220945033e-8,PE_PCC
40,3826,3827,34114,34115,1.2536187913499588e-8,PE_PCC
41,3827,3828,34115,34116,1.2548701616283556e-8,PE_PCC
42,3828,3829,34116,34117,1.2561215329266442e-8,PE_PCC
43,3829,3830,34117,34118,1.257372905241784e-8,PE_PCC
44,3830,3831,34118,34119,1.258624278570729e-8,PE_PCC
45,3831,3832,34119,34120,1.2598756529104862e-8,PE_PCC
46,3832,3833,34120,34121,1.2611270282580191e-8,PE_PCC
47,3833,3834,34121,34122,1.262378404610342e-8,PE_PCC
48,3834,3835,34122,34123,1.2636297819644675e-8,PE_PCC
49,3835,3836,34123,34124,1.2648811603174153e-8,PE_PCC
50,3836,3837,34124,34125,1.2661325396662483e-8,PE_PCC
51,3837,3838,34125,34126,1.2673839200079906e-8,PE_PCC
52,3838,3839,34126,34127,1.2686353013397137e-8,PE_PCC
53,3839,3840,34127,34128,1.269886683658482e-8,PE_PCC
54,3840,3841,34128,34129,1.2711380669614047e-8,PE_PCC
55,3841,3842,34129,34130,1.272389451245555e-8,PE_PCC
56,3842,3843,34130,34131,1.27364083650805e-8,PE_PCC
57,3843,3844,34131,34132,1.2748922227460041e-8,PE_PCC
58,3844,3845,34132,34133,1.2761436099565503e-8,PE_PCC
59,3845,3846,34133,34134,1.2773949981368297e-8,PE_PCC
60,3846,3847,34134,34135,1.2786463872839829e-8,PE_PCC
61,3847,3848,34135,34136,1.2798977773952141e-8,PE_PCC
62,3848,3849,34136,34137,1.2811491684676583e-8,PE_PCC
63,3849,3850,34137,34138,1.2824005604985103e-8,PE_PCC
64,3850,3851,34138,34139,1.283651953484977e-8,PE_PCC
65,3851,3852,34139,34140,1.2849033474242564e-8,PE_PCC
66,3852,3853,34140,34141,1.2861547423135692e-8,PE_PCC
67,3853,3854,34141,34142,1.2874061381501493e-8,PE_PCC
68,3854,3855,34142,34143,1.2886575349312376e-8,PE_PCC
69,3855,3856,34143,34144,1.28990893265406e-8,PE_PCC
70,3856,3857,34144,34145,1.2911603313159356e-8,PE_PCC
71,3857,3858,34145,34146,1.2924117309140872e-8,PE_PCC
72,3858,3859,34146,34147,1.2936631314458073e-8,PE_PCC
73,3859,3860,34147,34148,1.294914532908405e-8,PE_PCC
74,3860,3861,34148,34149,1.2961659352991668e-8,PE_PCC
75,3861,3862,34149,34150,1.2974173386154064e-8,PE_PCC
76,3862,3863,34150,34151,1.298668742854463e-8,PE_PCC
77,3863,3864,34151,34152,1.2999201480136625e-8,PE_PCC
78,3864,3865,34152,34153,1.3011715540903365e-8,PE_PCC
79,3865,3866,34153,34154,1.3024229610818856e-8,PE_PCC
80,3866,3867,34154,34155,1.3036743689856359e-8,PE_PCC
81,3867,3868,34155,34156,1.3049257777989602e-8,PE_PCC
82,3868,3869,34156,34157,1.3061771875192666e-8,PE_PCC
83,3869,3870,34157,34158,1.3074285981439318e-8,PE_PCC
84,3870,3871,34158,34159,1.3086800096703757e-8,PE_PCC
85,3871,3872,34159,34160,1.3099314220960071e-8,PE_PCC
86,3872,3873,34160,34161,1.3111828354182516e-8,PE_PCC
87,3873,3874,34161,34162,1.3124342496345293e-8,PE_PCC
88,3874,3875,34162,34163,1.313685664742333e-8,PE_PCC
89,3875,3876,34163,34164,1.3149370807390698e-8,PE_PCC
90,3876,3877,34164,34165,1.3161884976222196e-8,PE_PCC
91,3877,3878,34165,34166,1.3174399153892568e-8,PE_PCC
92,3878,3879,34166,34167,1.3186913340376644e-8,PE_PCC
93,3879,3880,34167,34168,1.3199427535649364e-8,PE_PCC
94,3880,3881,34168,34169,1.3211941739685744e-8,PE_PCC
95,3881,3882,34169,34170,1.3224455952460917e-8,PE_PCC
96,3882,3883,34170,34171,1.32369701739501e-8,PE_PCC
97,3883,3884,34171,34172,1.324948440412842e-8,PE_PCC
98,3884,3885,34172,34173,1.3261998642971753e-8,PE_PCC
99,3885,3886,34173,34174,1.327451289045517e-8,PE_PCC
100,3886,3887,34174,34175,1.328702714655439e-8,PE_PCC
101,3887,3888,34175,34176,1.3299541411245063e-8,PE_PCC
102,3888,3889,34176,34177,1.3312055684502966e-8,PE_PCC
