elem_id,n1,n2,n3,n4
1,1,181,182,2
2,2,182,183,3
3,3,183,184,4
4,4,184,185,5
5,5,185,186,6
6,6,186,187,7
7,7,187,188,8
8,8,188,189,9
9,9,189,190,10
10,10,190,191,11
11,11,191,192,12
12,12,192,193,13
13,13,193,194,14
14,14,194,195,15
15,15,195,196,16
16,16,196,197,17
17,17,197,198,18
18,18,198,199,19
19,19,199,200,20
20,20,200,201,21
21,21,201,202,22
22,22,202,203,23
23,23,203,204,24
24,24,204,205,25
25,25,205,206,26
26,26,206,207,27
27,27,207,208,28
28,28,208,209,29
29,29,209,210,30
30,30,210,211,31
31,31,211,212,32
32,32,212,213,33
33,33,213,214,34
34,34,214,215,35
35,35,215,216,36
36,36,216,217,37
37,37,217,218,38
38,38,218,219,39
39,39,219,220,40
40,40,220,221,41
41,41,221,222,42
42,42,222,223,43
43,43,223,224,44
44,44,224,225,45
45,45,225,226,46
46,46,226,227,47
47,47,227,228,48
48,48,228,229,49
49,49,229,230,50
50,50,230,231,51
51,51,231,232,52
52,52,232,233,53
53,53,233,234,54
54,54,234,235,55
55,55,235,236,56
56,56,236,237,57
57,57,237,238,58
58,58,238,239,59
59,59,239,240,60
60,60,240,241,61
61,61,241,242,62
62,62,242,243,63
63,63,243,244,64
64,64,244,245,65
65,65,245,246,66
66,66,246,247,67
67,67,247,248,68
68,68,248,249,69
69,69,249,250,70
70,70,250,251,71
71,71,251,252,72
72,72,252,253,73
73,73,253,254,74
74,74,254,255,75
75,75,255,256,76
76,76,256,257,77
77,77,257,258,78
78,78,258,259,79
79,79,259,260,80
80,80,260,261,81
81,81,261,262,82
82,82,262,263,83
83,83,263,264,84
84,84,264,265,85
85,85,265,266,86
86,86,266,267,87
87,87,267,268,88
88,88,268,269,89
89,89,269,270,90
90,90,270,271,91
91,91,271,272,92
92,92,272,273,93
93,93,273,274,94
94,94,274,275,95
95,95,275,276,96
96,96,276,277,97
97,97,277,278,98
98,98,278,279,99
99,99,279,280,100
100,100,280,281,101
101,101,281,282,102
102,102,282,283,103
103,103,283,284,104
104,104,284,285,105
105,105,285,286,106
106,106,286,287,107
107,107,287,288,108
108,108,288,289,109
109,109,289,290,110
110,110,290,291,111
111,111,291,292,112
112,112,292,293,113
113,113,293,294,114
114,114,294,295,115
115,115,295,296,116
116,116,296,297,117
117,117,297,298,118
118,118,298,299,119
119,119,299,300,120
120,120,300,301,121
121,121,301,302,122
122,122,302,303,123
123,123,303,304,124
124,124,304,305,125
125,125,305,306,126
126,126,306,307,127
127,127,307,308,128
128,128,308,309,129
129,129,309,310,130
130,130,310,311,131
131,131,311,312,132
132,132,312,313,133
133,133,313,314,134
134,134,314,315,135
135,135,315,316,136
136,136,316,317,137
137,137,317,318,138
138,138,318,319,139
139,139,319,320,140
140,140,320,321,141
141,141,321,322,142
142,142,322,323,143
143,143,323,324,144
144,144,324,325,145
145,145,325,326,146
146,146,326,327,147
147,147,327,328,148
148,148,328,329,149
149,149,329,330,150
150,150,330,331,151
151,151,331,332,152
152,152,332,333,153
153,153,333,334,154
154,154,334,335,155
155,155,335,336,156
156,156,336,337,157
157,157,337,338,158
158,158,338,339,159
159,159,339,340,160
160,160,340,341,161
161,161,341,342,162
162,162,342,343,163
163,163,343,344,164
164,164,344,345,165
165,165,345,346,166
166,166,346,347,167
167,167,347,348,168
168,168,348,349,169
169,169,349,350,170
170,170,350,351,171
171,171,351,352,172
172,172,352,353,173
173,173,353,354,174
174,174,354,355,175
175,175,355,356,176
176,176,356,357,177
177,177,357,358,178
178,178,358,359,179
179,179,359,360,180
180,180,360,361,181
181,181,361,362,182
182,182,362,363,183
183,183,363,364,184
184,184,364,365,185
185,185,365,366,186
186,186,366,367,187
187,187,367,368,188
188,188,368,369,189
189,189,369,370,190
190,190,370,371,191
191,191,371,372,192
192,192,372,373,193
193,193,373,374,194
194,194,374,375,195
195,195,375,376,196
196,196,376,377,197
197,197,377,378,198
198,198,378,379,199
199,199,379,380,200
200,200,380,381,201
201,201,381,382,202
202,202,382,383,203
203,203,383,384,204
204,204,384,385,205
205,205,385,386,206
206,206,386,387,207
207,207,387,388,208
208,208,388,389,209
209,209,389,390,210
210,210,390,391,211
211,211,391,392,212
212,212,392,393,213
213,213,393,394,214
214,214,394,395,215
215,215,395,396,216
216,216,396,397,217
217,217,397,398,218
218,218,398,399,219
219,219,399,400,220
220,220,400,401,221
221,221,401,402,222
222,222,402,403,223
223,223,403,404,224
224,224,404,405,225
225,225,405,406,226
226,226,406,407,227
227,227,407,408,228
228,228,408,409,229
229,229,409,410,230
230,230,410,411,231
231,231,411,412,232
232,232,412,413,233
233,233,413,414,234
234,234,414,415,235
235,235,415,416,236
236,236,416,417,237
237,237,417,418,238
238,238,418,419,239
239,239,419,420,240
240,240,420,421,241
241,241,421,422,242
242,242,422,423,243
243,243,423,424,244
244,244,424,425,245
245,245,425,426,246
246,246,426,427,247
247,247,427,428,248
248,248,428,429,249
249,249,429,430,250
250,250,430,431,251
251,251,431,432,252
252,252,432,433,253
253,253,433,434,254
254,254,434,435,255
255,255,435,436,256
256,256,436,437,257
257,257,437,438,258
258,258,438,439,259
259,259,439,440,260
260,260,440,441,261
261,261,441,442,262
262,262,442,443,263
263,263,443,444,264
264,264,444,445,265
265,265,445,446,266
266,266,446,447,267
267,267,447,448,268
268,268,448,449,269
269,269,449,450,270
270,270,450,451,271
271,271,451,452,272
272,272,452,453,273
273,273,453,454,274
274,274,454,455,275
275,275,455,456,276
