elem_id,n1,n2,n3,n4
1,1,422,423,2
2,2,423,424,3
3,3,424,425,4
4,4,425,426,5
5,5,426,427,6
6,6,427,428,7
7,7,428,429,8
8,8,429,430,9
9,9,430,431,10
10,10,431,432,11
11,11,432,433,12
12,12,433,434,13
13,13,434,435,14
14,14,435,436,15
15,15,436,437,16
16,16,437,438,17
17,17,438,439,18
18,18,439,440,19
19,19,440,441,20
20,20,441,442,21
21,21,442,443,22
22,22,443,444,23
23,23,444,445,24
24,24,445,446,25
25,25,446,447,26
26,26,447,448,27
27,27,448,449,28
28,28,449,450,29
29,29,450,451,30
30,30,451,452,31
31,31,452,453,32
32,32,453,454,33
33,33,454,455,34
34,34,455,456,35
35,35,456,457,36
36,36,457,458,37
37,37,458,459,38
38,38,459,460,39
39,39,460,461,40
40,40,461,462,41
41,41,462,463,42
42,42,463,464,43
43,43,464,465,44
44,44,465,466,45
45,45,466,467,46
46,46,467,468,47
47,47,468,469,48
48,48,469,470,49
49,49,470,471,50
50,50,471,472,51
51,51,472,473,52
52,52,473,474,53
53,53,474,475,54
54,54,475,476,55
55,55,476,477,56
56,56,477,478,57
57,57,478,479,58
58,58,479,480,59
59,59,480,481,60
60,60,481,482,61
61,61,482,483,62
62,62,483,484,63
63,63,484,485,64
64,64,485,486,65
65,65,486,487,66
66,66,487,488,67
67,67,488,489,68
68,68,489,490,69
69,69,490,491,70
70,70,491,492,71
71,71,492,493,72
72,72,493,494,73
73,73,494,495,74
74,74,495,496,75
75,75,496,497,76
76,76,497,498,77
77,77,498,499,78
78,78,499,500,79
79,79,500,501,80
80,80,501,502,81
81,81,502,503,82
82,82,503,504,83
83,83,504,505,84
84,84,505,506,85
85,85,506,507,86
86,86,507,508,87
87,87,508,509,88
88,88,509,510,89
89,89,510,511,90
90,90,511,512,91
91,91,512,513,92
92,92,513,514,93
93,93,514,515,94
94,94,515,516,95
95,95,516,517,96
96,96,517,518,97
97,97,518,519,98
98,98,519,520,99
99,99,520,521,100
100,100,521,522,101
101,101,522,523,102
102,102,523,524,103
103,103,524,525,104
104,104,525,526,105
105,105,526,527,106
106,106,527,528,107
107,107,528,529,108
108,108,529,530,109
109,109,530,531,110
110,110,531,532,111
111,111,532,533,112
112,112,533,534,113
113,113,534,535,114
114,114,535,536,115
115,115,536,537,116
116,116,537,538,117
117,117,538,539,118
118,118,539,540,119
119,119,540,541,120
120,120,541,542,121
121,121,542,543,122
122,122,543,544,123
123,123,544,545,124
124,124,545,546,125
125,125,546,547,126
126,126,547,548,127
127,127,548,549,128
128,128,549,550,129
129,129,550,551,130
130,130,551,552,131
131,131,552,553,132
132,132,553,554,133
133,133,554,555,134
134,134,555,556,135
135,135,556,557,136
136,136,557,558,137
137,137,558,559,138
138,138,559,560,139
139,139,560,561,140
140,140,561,562,141
141,141,562,563,142
142,142,563,564,143
143,143,564,565,144
144,144,565,566,145
145,145,566,567,146
146,146,567,568,147
147,147,568,569,148
148,148,569,570,149
149,149,570,571,150
150,150,571,572,151
151,151,572,573,152
152,152,573,574,153
153,153,574,575,154
154,154,575,576,155
155,155,576,577,156
156,156,577,578,157
157,157,578,579,158
158,158,579,580,159
159,159,580,581,160
160,160,581,582,161
161,161,582,583,162
162,162,583,584,163
163,163,584,585,164
164,164,585,586,165
165,165,586,587,166
166,166,587,588,167
167,167,588,589,168
168,168,589,590,169
169,169,590,591,170
170,170,591,592,171
171,171,592,593,172
172,172,593,594,173
173,173,594,595,174
174,174,595,596,175
175,175,596,597,176
176,176,597,598,177
177,177,598,599,178
178,178,599,600,179
179,179,600,601,180
180,180,601,602,181
181,181,602,603,182
182,182,603,604,183
183,183,604,605,184
184,184,605,606,185
185,185,606,607,186
186,186,607,608,187
187,187,608,609,188
188,188,609,610,189
189,189,610,611,190
190,190,611,612,191
191,191,612,613,192
192,192,613,614,193
193,193,614,615,194
194,194,615,616,195
195,195,616,617,196
196,196,617,618,197
197,197,618,619,198
198,198,619,620,199
199,199,620,621,200
200,200,621,622,201
201,201,622,623,202
202,202,623,624,203
203,203,624,625,204
204,204,625,626,205
205,205,626,627,206
206,206,627,628,207
207,207,628,629,208
208,208,629,630,209
209,209,630,631,210
210,210,631,632,211
211,211,632,633,212
212,212,633,634,213
213,213,634,635,214
214,214,635,636,215
215,215,636,637,216
216,216,637,638,217
217,217,638,639,218
218,218,639,640,219
219,219,640,641,220
220,220,641,642,221
221,221,642,643,222
222,222,643,644,223
223,223,644,645,224
224,224,645,646,225
225,225,646,647,226
226,226,647,648,227
227,227,648,649,228
228,228,649,650,229
229,229,650,651,230
230,230,651,652,231
231,231,652,653,232
232,232,653,654,233
233,233,654,655,234
234,234,655,656,235
235,235,656,657,236
236,236,657,658,237
237,237,658,659,238
238,238,659,660,239
239,239,660,661,240
240,240,661,662,241
241,241,662,663,242
242,242,663,664,243
243,243,664,665,244
244,244,665,666,245
245,245,666,667,246
246,246,667,668,247
247,247,668,669,248
248,248,669,670,249
249,249,670,671,250
250,250,671,672,251
251,251,672,673,252
252,252,673,674,253
253,253,674,675,254
254,254,675,676,255
255,255,676,677,256
256,256,677,678,257
257,257,678,679,258
258,258,679,680,259
259,259,680,681,260
260,260,681,682,261
261,261,682,683,262
262,262,683,684,263
263,263,684,685,264
264,264,685,686,265
265,265,686,687,266
266,266,687,688,267
267,267,688,689,268
268,268,689,690,269
269,269,690,691,270
270,270,691,692,271
271,271,692,693,272
272,272,693,694,273
273,273,694,695,274
274,274,695,696,275
275,275,696,697,276
276,276,697,698,277
277,277,698,699,278
278,278,699,700,279
279,279,700,701,280
280,280,701,702,281
281,281,702,703,282
282,282,703,704,283
283,283,704,705,284
284,284,705,706,285
285,285,706,707,286
286,286,707,708,287
287,287,708,709,288
288,288,709,710,289
289,289,710,711,290
290,290,711,712,291
291,291,712,713,292
292,292,713,714,293
293,293,714,715,294
294,294,715,716,295
295,295,716,717,296
296,296,717,718,297
297,297,718,719,298
298,298,719,720,299
299,299,720,721,300
300,300,721,722,301
301,301,722,723,302
302,302,723,724,303
303,303,724,725,304
304,304,725,726,305
305,305,726,727,306
306,306,727,728,307
307,307,728,729,308
308,308,729,730,309
309,309,730,731,310
310,310,731,732,311
311,311,732,733,312
312,312,733,734,313
313,313,734,735,314
314,314,735,736,315
315,315,736,737,316
316,316,737,738,317
317,317,738,739,318
318,318,739,740,319
319,319,740,741,320
320,320,741,742,321
321,321,742,743,322
322,322,743,744,323
323,323,744,745,324
324,324,745,746,325
325,325,746,747,326
326,326,747,748,327
327,327,748,749,328
328,328,749,750,329
329,329,750,751,330
330,330,751,752,331
331,331,752,753,332
332,332,753,754,333
333,333,754,755,334
334,334,755,756,335
335,335,756,757,336
336,336,757,758,337
337,337,758,759,338
338,338,759,760,339
339,339,760,761,340
340,340,761,762,341
341,341,762,763,342
342,342,763,764,343
343,343,764,765,344
344,344,765,766,345
345,345,766,767,346
346,346,767,768,347
347,347,768,769,348
348,348,769,770,349
349,349,770,771,350
350,350,771,772,351
351,351,772,773,352
352,352,773,774,353
353,353,774,775,354
354,354,775,776,355
355,355,776,777,356
356,356,777,778,357
357,357,778,779,358
358,358,779,780,359
359,359,780,781,360
360,360,781,782,361
361,361,782,783,362
362,362,783,784,363
363,363,784,785,364
364,364,785,786,365
365,365,786,787,366
366,366,787,788,367
367,367,788,789,368
368,368,789,790,369
369,369,790,791,370
370,370,791,792,371
371,371,792,793,372
372,372,793,794,373
373,373,794,795,374
374,374,795,796,375
375,375,796,797,376
376,376,797,798,377
377,377,798,799,378
378,378,799,800,379
379,379,800,801,380
380,380,801,802,381
381,381,802,803,382
382,382,803,804,383
383,383,804,805,384
384,384,805,806,385
385,385,806,807,386
386,386,807,808,387
387,387,808,809,388
388,388,809,810,389
389,389,810,811,390
390,390,811,812,391
391,391,812,813,392
392,392,813,814,393
393,393,814,815,394
394,394,815,816,395
395,395,816,817,396
396,396,817,818,397
397,397,818,819,398
398,398,819,820,399
399,399,820,821,400
400,400,821,822,401
401,401,822,823,402
402,402,823,824,403
403,403,824,825,404
404,404,825,826,405
405,405,826,827,406
406,406,827,828,407
407,407,828,829,408
408,408,829,830,409
409,409,830,831,410
410,410,831,832,411
411,411,832,833,412
412,412,833,834,413
413,413,834,835,414
414,414,835,836,415
415,415,836,837,416
416,416,837,838,417
417,417,838,839,418
418,418,839,840,419
419,419,840,841,420
420,420,841,842,421
