coh_id,n1_bot,n2_bot,n4_top,n3_top,length,layer_idx
1,1241,1081,2844,2684,1.2911616e-7,1
2,1081,921,2684,2524,1.2911616000000005e-7,1
3,921,761,2524,2364,1.2911615999999992e-7,1
4,761,601,2364,2204,1.2911616e-7,1
5,601,1642,2204,3245,8.450059802545475e-7,1
6,1642,1482,3245,3085,1.2911615999999987e-7,1
7,1482,1322,3085,2925,1.2911615999999992e-7,1
8,1322,1162,2925,2765,1.2911616000000008e-7,1
9,1162,1002,2765,2605,1.2911615999999995e-7,1
10,1002,1562,2605,3165,4.5190655999999983e-7,1
11,1562,1402,3165,3005,1.291161599999998e-7,1
12,1402,1242,3005,2845,1.2911616000000008e-7,1
13,1242,1082,2845,2685,1.2911615999999995e-7,1
14,1082,842,2685,2445,1.936742400000001e-7,1
15,842,922,2445,2525,6.455808000000007e-8,1
16,922,762,2525,2365,1.2911615999999992e-7,1
17,762,602,2365,2205,1.2911616e-7,1
18,602,682,2205,2285,6.455808e-8,1
19,682,442,2285,2045,1.936742400000001e-7,1
20,442,522,2045,2125,6.455808000000001e-8,1
21,522,122,2125,1725,3.227904e-7,1
22,122,282,1725,1885,1.2911616e-7,1
23,282,362,1885,1965,6.455808000000005e-8,1
24,362,202,1965,1805,1.2911616e-7,1
25,202,1563,1805,3166,1.1004997854016912e-6,1
26,1563,1403,3166,3006,1.2911615999999995e-7,1
27,1403,1243,3006,2846,1.2911615999999987e-7,1
28,1243,1083,2846,2686,1.2911616e-7,1
29,1083,843,2686,2446,1.9367424000000015e-7,1
30,843,923,2446,2526,6.45580799999999e-8,1
31,923,763,2526,2366,1.2911615999999987e-7,1
32,763,603,2366,2206,1.2911615999999987e-7,1
33,603,683,2206,2286,6.455807999999999e-8,1
34,683,523,2286,2126,1.2911616000000013e-7,1
35,523,123,2126,1726,3.2279039999999996e-7,1
36,123,443,1726,2046,2.5823232e-7,1
37,443,1643,2046,3246,9.683711999999998e-7,1
38,1643,283,3246,1886,1.09748736e-6,1
39,283,363,1886,1966,6.455808e-8,1
40,363,1483,1966,3086,9.038131200000001e-7,1
41,1483,203,3086,1806,1.0329292800000002e-6,1
42,203,1323,1806,2926,9.0381312e-7,1
43,1323,1163,2926,2766,1.2911615999999997e-7,1
44,1163,1003,2766,2606,1.2911616000000005e-7,1
45,1003,1564,2606,3167,4.6491941869141533e-7,1
46,1564,1404,3167,3007,1.2911615999999995e-7,1
47,1404,1244,3007,2847,1.2911615999999997e-7,1
48,1244,1084,2847,2687,1.2911616e-7,1
49,1084,924,2687,2527,1.2911616000000019e-7,1
50,924,1644,2527,3247,5.810227200000001e-7,1
51,1644,1484,3247,3087,1.2911616e-7,1
52,1484,1324,3087,2927,1.2911615999999995e-7,1
53,1324,1164,2927,2767,1.2911616e-7,1
54,1164,1004,2767,2607,1.2911616000000003e-7,1
55,1004,284,2607,1887,5.8102272e-7,1
56,284,844,1887,2447,4.5190656e-7,1
57,844,204,2447,1807,5.1646464e-7,1
58,204,764,1807,2367,4.519065600000001e-7,1
59,764,124,2367,1727,5.164646400000001e-7,1
60,124,604,1727,2207,3.8734848e-7,1
61,604,684,2207,2287,6.45580800000001e-8,1
62,684,444,2287,2047,1.9367424000000007e-7,1
63,444,524,2047,2127,6.455807999999991e-8,1
64,524,364,2127,1967,1.2911615999999992e-7,1
65,364,1645,1967,3248,1.0368212011084684e-6,1
66,1645,1485,3248,3088,1.291161600000002e-7,1
67,1485,1325,3088,2928,1.2911615999999995e-7,1
68,1325,1165,2928,2768,1.2911615999999997e-7,1
69,1165,845,2768,2448,2.5823232e-7,1
70,845,1005,2448,2608,1.2911615999999984e-7,1
71,1005,765,2608,2368,1.936742399999998e-7,1
72,765,605,2368,2208,1.2911616000000005e-7,1
73,605,685,2208,2288,6.455808000000007e-8,1
74,685,445,2288,2048,1.9367424000000015e-7,1
75,445,525,2048,2128,6.455807999999997e-8,1
76,525,285,2128,1888,1.936742399999999e-7,1
77,285,365,1888,1968,6.455808e-8,1
78,365,125,1968,1728,1.9367424e-7,1
79,125,205,1728,1808,6.455807999999996e-8,1
80,205,1565,1808,3168,1.09748736e-6,1
81,1565,1405,3168,3008,1.2911616000000008e-7,1
82,1405,1245,3008,2848,1.2911615999999987e-7,1
83,1245,1085,2848,2688,1.291161600000001e-7,1
84,1085,925,2688,2528,1.2911616000000005e-7,1
85,925,1646,2528,3249,5.912255451131939e-7,1
86,1646,1486,3249,3089,1.2911616e-7,1
87,1486,1326,3089,2929,1.2911616e-7,1
88,1326,1166,2929,2769,1.291161599999999e-7,1
89,1166,1006,2769,2609,1.2911616000000019e-7,1
90,1006,446,2609,2049,4.5190656e-7,1
91,446,286,2049,1889,1.2911615999999992e-7,1
92,286,366,1889,1969,6.455808000000001e-8,1
93,366,1566,1969,3169,9.683711999999998e-7,1
94,1566,1406,3169,3009,1.2911616000000005e-7,1
95,1406,1246,3009,2849,1.2911615999999987e-7,1
96,1246,1086,2849,2689,1.2911616000000013e-7,1
97,1086,126,2689,1729,7.7469696e-7,1
98,126,846,1729,2449,5.8102272e-7,1
99,846,926,2449,2529,6.455807999999993e-8,1
100,926,206,2529,1809,5.810227199999999e-7,1
101,206,766,1809,2369,4.519065600000001e-7,1
102,766,606,2369,2209,1.2911616000000019e-7,1
103,606,686,2209,2289,6.45580800000001e-8,1
104,686,526,2289,2129,1.2911616000000013e-7,1
105,526,1567,2129,3170,8.444733744144217e-7,1
106,1567,1407,3170,3010,1.2911616e-7,1
107,1407,1247,3010,2850,1.2911616e-7,1
108,1247,1087,2850,2690,1.2911616000000019e-7,1
109,1087,927,2690,2530,1.2911615999999995e-7,1
110,927,767,2530,2370,1.2911615999999987e-7,1
111,767,847,2370,2450,6.455807999999996e-8,1
112,847,607,2450,2210,1.9367424000000007e-7,1
113,607,687,2210,2290,6.455808000000003e-8,1
114,687,447,2290,2050,1.9367424000000001e-7,1
115,447,527,2050,2130,6.455807999999996e-8,1
116,527,287,2130,1890,1.936742399999999e-7,1
117,287,367,1890,1970,6.455808000000003e-8,1
118,367,207,1970,1810,1.2911616000000003e-7,1
119,207,127,1810,1730,6.455808000000003e-8,1
120,127,1647,1730,3250,1.22660352e-6,1
121,1647,1487,3250,3090,1.2911615999999992e-7,1
122,1487,1327,3090,2930,1.2911616000000003e-7,1
123,1327,1167,2930,2770,1.2911616000000016e-7,1
124,1167,1007,2770,2610,1.2911616000000005e-7,1
125,1007,1568,2610,3171,4.649779873181993e-7,1
126,1568,1408,3171,3011,1.2911616e-7,1
127,1408,1248,3011,2851,1.2911615999999995e-7,1
128,1248,1088,2851,2691,1.2911616000000019e-7,1
129,1088,928,2691,2531,1.2911615999999997e-7,1
130,928,448,2531,2051,3.8734848e-7,1
131,448,1648,2051,3251,9.683712e-7,1
132,1648,288,3251,1891,1.09748736e-6,1
133,288,368,1891,1971,6.455808000000003e-8,1
134,368,1488,1971,3091,9.0381312e-7,1
135,1488,208,3091,1811,1.03292928e-6,1
136,208,1328,1811,2931,9.0381312e-7,1
137,1328,128,2931,1731,9.683712e-7,1
138,128,1168,1731,2771,8.392550399999999e-7,1
139,1168,1008,2771,2611,1.2911615999999997e-7,1
140,1008,848,2611,2451,1.2911615999999997e-7,1
141,848,768,2451,2371,6.455807999999997e-8,1
142,768,608,2371,2211,1.2911616000000013e-7,1
143,608,688,2211,2291,6.455808000000007e-8,1
144,688,528,2291,2131,1.2911616000000003e-7,1
145,528,1409,2131,3012,7.157484625892608e-7,1
146,1409,1089,3012,2692,2.5823232000000005e-7,1
147,1089,1649,2692,3252,4.519065600000001e-7,1
148,1649,1489,3252,3092,1.2911616e-7,1
149,1489,1329,3092,2932,1.2911616e-7,1
150,1329,1169,2932,2772,1.2911616000000013e-7,1
151,1169,1009,2772,2612,1.2911616e-7,1
152,1009,769,2612,2372,1.9367424e-7,1
153,769,849,2372,2452,6.455808000000003e-8,1
154,849,609,2452,2212,1.9367424000000001e-7,1
155,609,689,2212,2292,6.455807999999996e-8,1
156,689,449,2292,2052,1.9367423999999988e-7,1
157,449,529,2052,2132,6.455807999999993e-8,1
158,529,289,2132,1892,1.9367423999999994e-7,1
159,289,369,1892,1972,6.455808000000005e-8,1
160,369,209,1972,1812,1.2911616000000005e-7,1
161,209,129,1812,1732,6.455808e-8,1
162,129,1569,1732,3172,1.16204544e-6,1
163,1569,1249,3172,2852,2.5823232e-7,1
164,1249,929,2852,2532,2.5823232000000005e-7,1
165,929,1650,2532,3253,5.91271656894998e-7,1
166,1650,1490,3253,3093,1.291161599999999e-7,1
167,1490,1330,3093,2933,1.2911615999999992e-7,1
168,1330,1170,2933,2773,1.2911616000000019e-7,1
169,1170,1010,2773,2613,1.2911616000000005e-7,1
170,1010,770,2613,2373,1.936742399999999e-7,1
171,770,850,2373,2453,6.455807999999996e-8,1
172,850,610,2453,2213,1.9367423999999994e-7,1
173,610,690,2213,2293,6.455807999999996e-8,1
174,690,530,2293,2133,1.2911616e-7,1
175,530,450,2133,2053,6.455808000000001e-8,1
176,450,130,2053,1733,2.5823231999999995e-7,1
177,130,290,1733,1893,1.2911616e-7,1
178,290,370,1893,1973,6.455808000000005e-8,1
179,370,1570,1973,3173,9.683711999999998e-7,1
180,1570,210,3173,1813,1.09748736e-6,1
181,210,1410,1813,3013,9.683712e-7,1
182,1410,1250,3013,2853,1.2911615999999995e-7,1
183,1250,1090,2853,2693,1.291161600000001e-7,1
184,1090,930,2693,2533,1.2911616000000005e-7,1
185,930,1651,2533,3254,5.912832012540497e-7,1
186,1651,1491,3254,3094,1.2911615999999995e-7,1
187,1491,1331,3094,2934,1.2911616000000013e-7,1
188,1331,1171,2934,2774,1.2911616000000005e-7,1
189,1171,1011,2774,2614,1.2911616000000005e-7,1
190,1011,1411,2614,3014,3.2279040000000023e-7,1
191,1411,1571,3014,3174,1.2911615999999992e-7,1
192,1571,1251,3174,2854,2.582323200000002e-7,1
193,1251,1091,2854,2694,1.2911615999999995e-7,1
194,1091,851,2694,2454,1.936742399999999e-7,1
195,851,931,2454,2534,6.455808000000001e-8,1
196,931,771,2534,2374,1.2911616e-7,1
197,771,531,2374,2134,1.9367423999999994e-7,1
198,531,611,2134,2214,6.455807999999996e-8,1
199,611,691,2214,2294,6.455807999999996e-8,1
200,691,451,2294,2054,1.9367424e-7,1
201,451,131,2054,1734,2.582323199999999e-7,1
202,131,291,1734,1894,1.2911616000000003e-7,1
