cycle,phase,time_s,node_id,ux,uy
200,PHASE_DISCHARGE,1800,1,-1.200000000000e-7,0
200,PHASE_DISCHARGE,1800,2,-1.134970574453e-7,-5.524550955725e-9
200,PHASE_DISCHARGE,1800,3,-9.629786892334e-8,-9.408791416195e-9
200,PHASE_DISCHARGE,1800,4,-7.328880513002e-8,-1.081275487150e-8
200,PHASE_DISCHARGE,1800,5,-5.002365885058e-8,-9.936601104957e-9
200,PHASE_DISCHARGE,1800,6,-3.061442281045e-8,-7.699922552606e-9
200,PHASE_DISCHARGE,1800,7,-1.679397944208e-8,-5.150931197743e-9
200,PHASE_DISCHARGE,1800,8,-8.254488185835e-9,-3.011737212878e-9
200,PHASE_DISCHARGE,1800,9,-3.633581100542e-9,-1.550361003028e-9
200,PHASE_DISCHARGE,1800,10,-1.431700214507e-9,-7.058474798694e-10
200,PHASE_DISCHARGE,1800,11,-5.046238554036e-10,-2.850694751017e-10
200,PHASE_DISCHARGE,1800,12,-1.589876785738e-10,-1.023371551137e-10
200,PHASE_DISCHARGE,1800,13,-4.473700930785e-11,-3.270153437773e-11
200,PHASE_DISCHARGE,1800,14,-1.123150348295e-11,-9.310677884020e-12
200,PHASE_DISCHARGE,1800,15,-2.512731870388e-12,-2.363586835474e-12
200,PHASE_DISCHARGE,1800,16,-5.001940883269e-13,-5.352373664857e-13
200,PHASE_DISCHARGE,1800,17,-8.842753123655e-14,-1.081549692511e-13
200,PHASE_DISCHARGE,1800,18,-1.384868230030e-14,-1.950571346289e-14
200,PHASE_DISCHARGE,1800,19,-1.914794298748e-15,-3.140099016550e-15
200,PHASE_DISCHARGE,1800,20,-2.326004757830e-16,-4.512425206568e-16
200,PHASE_DISCHARGE,1800,21,-2.464065490686e-17,-5.788337924142e-17
200,PHASE_DISCHARGE,1800,22,-2.248749283295e-18,-6.627391792877e-18
200,PHASE_DISCHARGE,1800,23,-1.728635473171e-19,-6.772059634697e-19
200,PHASE_DISCHARGE,1800,24,-1.065368351064e-20,-6.174602114614e-20
200,PHASE_DISCHARGE,1800,25,-4.528278169049e-22,-5.022295957388e-21
200,PHASE_DISCHARGE,1800,26,-2.588090961577e-24,-3.643062364291e-22
200,PHASE_DISCHARGE,1800,27,1.831650411169e-24,-2.355771490246e-23
200,PHASE_DISCHARGE,1800,28,2.248754549013e-25,-1.357346802160e-24
200,PHASE_DISCHARGE,1800,29,1.797975649126e-26,-6.964258528436e-26
200,PHASE_DISCHARGE,1800,30,1.135476922510e-27,-3.179443832524e-27
200,PHASE_DISCHARGE,1800,31,5.999784768712e-29,-1.290306636449e-28
200,PHASE_DISCHARGE,1800,32,2.719775134301e-30,-4.648863754128e-30
200,PHASE_DISCHARGE,1800,33,1.071692547270e-31,-1.484501296407e-31
200,PHASE_DISCHARGE,1800,34,3.699052846263e-33,-4.191797817464e-33
200,PHASE_DISCHARGE,1800,35,1.123843267302e-34,-1.043308444399e-34
200,PHASE_DISCHARGE,1800,36,3.015212114765e-36,-2.278146819947e-36
200,PHASE_DISCHARGE,1800,37,7.159581189622e-38,-4.332764237666e-38
200,PHASE_DISCHARGE,1800,38,1.506895934878e-39,-7.091493532901e-40
200,PHASE_DISCHARGE,1800,39,2.814281678784e-41,-9.768330352712e-42
200,PHASE_DISCHARGE,1800,40,4.667132364387e-43,-1.078264381900e-43
200,PHASE_DISCHARGE,1800,41,6.875729957986e-45,-8.213965305105e-46
200,PHASE_DISCHARGE,1800,42,4.555340034220e-43,2.194379781899e-43
200,PHASE_DISCHARGE,1800,43,2.683849807827e-41,1.611852476014e-41
200,PHASE_DISCHARGE,1800,44,1.405431066934e-39,1.026677651310e-39
200,PHASE_DISCHARGE,1800,45,6.536573174309e-38,5.722572852538e-38
200,PHASE_DISCHARGE,1800,46,2.697250855835e-36,2.807319021262e-36
200,PHASE_DISCHARGE,1800,47,9.860111338052e-35,1.216791639483e-34
200,PHASE_DISCHARGE,1800,48,3.186604947904e-33,4.672569776765e-33
200,PHASE_DISCHARGE,1800,49,9.077412189124e-32,1.592905609108e-31
200,PHASE_DISCHARGE,1800,50,2.269099058750e-30,4.828269540732e-30
200,PHASE_DISCHARGE,1800,51,4.943005779768e-29,1.302838520154e-28
200,PHASE_DISCHARGE,1800,52,9.275474942810e-28,3.132690901870e-27
200,PHASE_DISCHARGE,1800,53,1.467362095591e-26,6.717856333238e-26
200,PHASE_DISCHARGE,1800,54,1.866836215578e-25,1.285689408665e-24
200,PHASE_DISCHARGE,1800,55,1.657754634449e-24,2.197359302374e-23
200,PHASE_DISCHARGE,1800,56,2.810011167732e-24,3.355557256493e-22
200,PHASE_DISCHARGE,1800,57,-2.594881304943e-22,4.580831449517e-21
200,PHASE_DISCHARGE,1800,58,-6.720446438813e-21,5.592953750793e-20
200,PHASE_DISCHARGE,1800,59,-1.115875787095e-19,6.110033775632e-19
200,PHASE_DISCHARGE,1800,60,-1.460697819877e-18,5.974872619789e-18
200,PHASE_DISCHARGE,1800,61,-1.601341607082e-17,5.231945123816e-17
200,PHASE_DISCHARGE,1800,62,-1.509368233924e-16,4.103960168842e-16
200,PHASE_DISCHARGE,1800,63,-1.240327482234e-15,2.884641716560e-15
200,PHASE_DISCHARGE,1800,64,-8.960429178323e-15,1.817428768589e-14
200,PHASE_DISCHARGE,1800,65,-5.721869663718e-14,1.026617072184e-13
200,PHASE_DISCHARGE,1800,66,-3.241976361328e-13,5.200318334185e-13
200,PHASE_DISCHARGE,1800,67,-1.634351156482e-12,2.362527702752e-12
200,PHASE_DISCHARGE,1800,68,-7.346009236409e-12,9.626504122073e-12
200,PHASE_DISCHARGE,1800,69,-2.948689381623e-11,3.517881546799e-11
200,PHASE_DISCHARGE,1800,70,-1.058342743906e-10,1.152764027914e-10
200,PHASE_DISCHARGE,1800,71,-3.399951417027e-10,3.386203770738e-10
200,PHASE_DISCHARGE,1800,72,-9.783639261939e-10,8.912467901151e-10
200,PHASE_DISCHARGE,1800,73,-2.523247178858e-9,2.100460583187e-9
200,PHASE_DISCHARGE,1800,74,-5.834855911106e-9,4.428825096789e-9
200,PHASE_DISCHARGE,1800,75,-1.210120286826e-8,8.345110560212e-9
200,PHASE_DISCHARGE,1800,76,-2.251217108548e-8,1.403182934625e-8
200,PHASE_DISCHARGE,1800,77,-3.756740219661e-8,2.101432638814e-8
200,PHASE_DISCHARGE,1800,78,-5.623193616087e-8,2.796104873242e-8
200,PHASE_DISCHARGE,1800,79,-7.548678455139e-8,3.294268170747e-8
200,PHASE_DISCHARGE,1800,80,-9.086220562286e-8,3.420219949232e-8
200,PHASE_DISCHARGE,1800,81,-9.804020444925e-8,3.106924910669e-8
200,PHASE_DISCHARGE,1800,82,-9.479773869921e-8,2.441020436878e-8
200,PHASE_DISCHARGE,1800,83,-8.211311502623e-8,1.624620838278e-8
200,PHASE_DISCHARGE,1800,84,-6.369158651530e-8,8.764399941941e-9
200,PHASE_DISCHARGE,1800,85,-4.422099886299e-8,3.377699128422e-9
200,PHASE_DISCHARGE,1800,86,-2.747020935645e-8,3.778508262553e-10
200,PHASE_DISCHARGE,1800,87,-1.526087397465e-8,-7.746308096685e-10
200,PHASE_DISCHARGE,1800,88,-7.578140331207e-9,-8.921780604656e-10
200,PHASE_DISCHARGE,1800,89,-3.361818007295e-9,-6.315047260084e-10
200,PHASE_DISCHARGE,1800,90,-1.331531360745e-9,-3.487995391029e-10
200,PHASE_DISCHARGE,1800,91,-4.705415239899e-10,-1.605106761015e-10
200,PHASE_DISCHARGE,1800,92,-1.482423009595e-10,-6.325686393674e-11
200,PHASE_DISCHARGE,1800,93,-4.159778387677e-11,-2.165314739296e-11
200,PHASE_DISCHARGE,1800,94,-1.038490237077e-11,-6.490746823303e-12
200,PHASE_DISCHARGE,1800,95,-2.303341043061e-12,-1.712587914942e-12
200,PHASE_DISCHARGE,1800,96,-4.530572521429e-13,-3.990864476455e-13
200,PHASE_DISCHARGE,1800,97,-7.883959434428e-14,-8.232791858067e-14
200,PHASE_DISCHARGE,1800,98,-1.209740677586e-14,-1.505924185163e-14
200,PHASE_DISCHARGE,1800,99,-1.628973322888e-15,-2.445334123951e-15
200,PHASE_DISCHARGE,1800,100,-1.910801915787e-16,-3.527820175050e-16
200,PHASE_DISCHARGE,1800,101,-1.928881998492e-17,-4.524265039455e-17
200,PHASE_DISCHARGE,1800,102,-1.638300169638e-18,-5.159545890918e-18
200,PHASE_DISCHARGE,1800,103,-1.114097734774e-19,-5.233188046714e-19
200,PHASE_DISCHARGE,1800,104,-5.209995636459e-21,-4.720732513826e-20
200,PHASE_DISCHARGE,1800,105,-3.016214361816e-23,-3.786735522833e-21
200,PHASE_DISCHARGE,1800,106,2.601705456987e-23,-2.700099364853e-22
200,PHASE_DISCHARGE,1800,107,3.504459401456e-24,-1.710452495890e-23
200,PHASE_DISCHARGE,1800,108,3.081387600438e-25,-9.618482980100e-25
200,PHASE_DISCHARGE,1800,109,2.140388215623e-26,-4.795923799352e-26
200,PHASE_DISCHARGE,1800,110,1.243652657535e-27,-2.116996829687e-27
200,PHASE_DISCHARGE,1800,111,6.197140656714e-29,-8.254382833641e-29
200,PHASE_DISCHARGE,1800,112,2.683171305575e-30,-2.833868552203e-30
200,PHASE_DISCHARGE,1800,113,1.017190163302e-31,-8.526016547257e-32
200,PHASE_DISCHARGE,1800,114,3.392777497183e-33,-2.231329258490e-33
200,PHASE_DISCHARGE,1800,115,9.988501957310e-35,-5.016639709701e-35
200,PHASE_DISCHARGE,1800,116,2.601271102108e-36,-9.465008695114e-37
200,PHASE_DISCHARGE,1800,117,6.001550845083e-38,-1.421954445223e-38
200,PHASE_DISCHARGE,1800,118,1.227936194212e-39,-1.440206816564e-40
200,PHASE_DISCHARGE,1800,119,2.229485406290e-41,-3.549251227876e-44
200,PHASE_DISCHARGE,1800,120,3.593368358619e-43,4.062433115852e-44
200,PHASE_DISCHARGE,1800,121,5.141660641148e-45,1.179541769380e-45
200,PHASE_DISCHARGE,1800,122,3.360460088355e-43,2.126475347413e-43
200,PHASE_DISCHARGE,1800,123,1.958740305566e-41,1.448709532168e-41
200,PHASE_DISCHARGE,1800,124,1.018190699765e-39,8.703239776958e-40
200,PHASE_DISCHARGE,1800,125,4.719799910516e-38,4.627077431677e-38
