elem_id,n1,n2,n3,n4
1,1,1350,1351,2
2,2,1351,1352,3
3,3,1352,1353,4
4,4,1353,1354,5
5,5,1354,1355,6
6,6,1355,1356,7
7,7,1356,1357,8
8,8,1357,1358,9
9,9,1358,1359,10
10,10,1359,1360,11
11,11,1360,1361,12
12,12,1361,1362,13
13,13,1362,1363,14
14,14,1363,1364,15
15,15,1364,1365,16
16,16,1365,1366,17
17,17,1366,1367,18
18,18,1367,1368,19
19,19,1368,1369,20
20,20,1369,1370,21
21,21,1370,1371,22
22,22,1371,1372,23
23,23,1372,1373,24
24,24,1373,1374,25
25,25,1374,1375,26
26,26,1375,1376,27
27,27,1376,1377,28
28,28,1377,1378,29
29,29,1378,1379,30
30,30,1379,1380,31
31,31,1380,1381,32
32,32,1381,1382,33
33,33,1382,1383,34
34,34,1383,1384,35
35,35,1384,1385,36
36,36,1385,1386,37
37,37,1386,1387,38
38,38,1387,1388,39
39,39,1388,1389,40
40,40,1389,1390,41
41,41,1390,1391,42
42,42,1391,1392,43
43,43,1392,1393,44
44,44,1393,1394,45
45,45,1394,1395,46
46,46,1395,1396,47
47,47,1396,1397,48
48,48,1397,1398,49
49,49,1398,1399,50
50,50,1399,1400,51
51,51,1400,1401,52
52,52,1401,1402,53
53,53,1402,1403,54
54,54,1403,1404,55
55,55,1404,1405,56
56,56,1405,1406,57
57,57,1406,1407,58
58,58,1407,1408,59
59,59,1408,1409,60
60,60,1409,1410,61
61,61,1410,1411,62
62,62,1411,1412,63
63,63,1412,1413,64
64,64,1413,1414,65
65,65,1414,1415,66
66,66,1415,1416,67
67,67,1416,1417,68
68,68,1417,1418,69
69,69,1418,1419,70
70,70,1419,1420,71
71,71,1420,1421,72
72,72,1421,1422,73
73,73,1422,1423,74
74,74,1423,1424,75
75,75,1424,1425,76
76,76,1425,1426,77
77,77,1426,1427,78
78,78,1427,1428,79
79,79,1428,1429,80
80,80,1429,1430,81
81,81,1430,1431,82
82,82,1431,1432,83
83,83,1432,1433,84
84,84,1433,1434,85
85,85,1434,1435,86
86,86,1435,1436,87
87,87,1436,1437,88
88,88,1437,1438,89
89,89,1438,1439,90
90,90,1439,1440,91
91,91,1440,1441,92
92,92,1441,1442,93
93,93,1442,1443,94
94,94,1443,1444,95
95,95,1444,1445,96
96,96,1445,1446,97
97,97,1446,1447,98
98,98,1447,1448,99
99,99,1448,1449,100
100,100,1449,1450,101
101,101,1450,1451,102
102,102,1451,1452,103
103,103,1452,1453,104
104,104,1453,1454,105
105,105,1454,1455,106
106,106,1455,1456,107
107,107,1456,1457,108
108,108,1457,1458,109
109,109,1458,1459,110
110,110,1459,1460,111
111,111,1460,1461,112
112,112,1461,1462,113
113,113,1462,1463,114
114,114,1463,1464,115
115,115,1464,1465,116
116,116,1465,1466,117
117,117,1466,1467,118
118,118,1467,1468,119
119,119,1468,1469,120
120,120,1469,1470,121
121,121,1470,1471,122
122,122,1471,1472,123
123,123,1472,1473,124
124,124,1473,1474,125
125,125,1474,1475,126
126,126,1475,1476,127
127,127,1476,1477,128
128,128,1477,1478,129
129,129,1478,1479,130
130,130,1479,1480,131
131,131,1480,1481,132
132,132,1481,1482,133
133,133,1482,1483,134
134,134,1483,1484,135
135,135,1484,1485,136
136,136,1485,1486,137
137,137,1486,1487,138
138,138,1487,1488,139
139,139,1488,1489,140
140,140,1489,1490,141
141,141,1490,1491,142
142,142,1491,1492,143
143,143,1492,1493,144
144,144,1493,1494,145
145,145,1494,1495,146
146,146,1495,1496,147
147,147,1496,1497,148
148,148,1497,1498,149
149,149,1498,1499,150
150,150,1499,1500,151
151,151,1500,1501,152
152,152,1501,1502,153
153,153,1502,1503,154
154,154,1503,1504,155
155,155,1504,1505,156
156,156,1505,1506,157
157,157,1506,1507,158
158,158,1507,1508,159
159,159,1508,1509,160
160,160,1509,1510,161
161,161,1510,1511,162
162,162,1511,1512,163
163,163,1512,1513,164
164,164,1513,1514,165
165,165,1514,1515,166
166,166,1515,1516,167
167,167,1516,1517,168
168,168,1517,1518,169
169,169,1518,1519,170
170,170,1519,1520,171
171,171,1520,1521,172
172,172,1521,1522,173
173,173,1522,1523,174
174,174,1523,1524,175
175,175,1524,1525,176
176,176,1525,1526,177
177,177,1526,1527,178
178,178,1527,1528,179
179,179,1528,1529,180
180,180,1529,1530,181
181,181,1530,1531,182
182,182,1531,1532,183
183,183,1532,1533,184
184,184,1533,1534,185
185,185,1534,1535,186
186,186,1535,1536,187
187,187,1536,1537,188
188,188,1537,1538,189
189,189,1538,1539,190
190,190,1539,1540,191
191,191,1540,1541,192
192,192,1541,1542,193
193,193,1542,1543,194
194,194,1543,1544,195
195,195,1544,1545,196
196,196,1545,1546,197
197,197,1546,1547,198
198,198,1547,1548,199
199,199,1548,1549,200
200,200,1549,1550,201
201,201,1550,1551,202
202,202,1551,1552,203
203,203,1552,1553,204
204,204,1553,1554,205
205,205,1554,1555,206
206,206,1555,1556,207
207,207,1556,1557,208
208,208,1557,1558,209
209,209,1558,1559,210
210,210,1559,1560,211
211,211,1560,1561,212
212,212,1561,1562,213
213,213,1562,1563,214
214,214,1563,1564,215
215,215,1564,1565,216
216,216,1565,1566,217
217,217,1566,1567,218
218,218,1567,1568,219
219,219,1568,1569,220
220,220,1569,1570,221
221,221,1570,1571,222
222,222,1571,1572,223
223,223,1572,1573,224
224,224,1573,1574,225
225,225,1574,1575,226
226,226,1575,1576,227
227,227,1576,1577,228
228,228,1577,1578,229
229,229,1578,1579,230
230,230,1579,1580,231
231,231,1580,1581,232
232,232,1581,1582,233
233,233,1582,1583,234
234,234,1583,1584,235
235,235,1584,1585,236
236,236,1585,1586,237
237,237,1586,1587,238
238,238,1587,1588,239
239,239,1588,1589,240
240,240,1589,1590,241
241,241,1590,1591,242
242,242,1591,1592,243
243,243,1592,1593,244
244,244,1593,1594,245
245,245,1594,1595,246
246,246,1595,1596,247
247,247,1596,1597,248
248,248,1597,1598,249
249,249,1598,1599,250
250,250,1599,1600,251
251,251,1600,1601,252
252,252,1601,1602,253
253,253,1602,1603,254
254,254,1603,1604,255
255,255,1604,1605,256
256,256,1605,1606,257
257,257,1606,1607,258
258,258,1607,1608,259
259,259,1608,1609,260
260,260,1609,1610,261
261,261,1610,1611,262
262,262,1611,1612,263
263,263,1612,1613,264
264,264,1613,1614,265
265,265,1614,1615,266
266,266,1615,1616,267
267,267,1616,1617,268
268,268,1617,1618,269
269,269,1618,1619,270
270,270,1619,1620,271
271,271,1620,1621,272
272,272,1621,1622,273
273,273,1622,1623,274
274,274,1623,1624,275
275,275,1624,1625,276
276,276,1625,1626,277
277,277,1626,1627,278
278,278,1627,1628,279
279,279,1628,1629,280
280,280,1629,1630,281
281,281,1630,1631,282
282,282,1631,1632,283
283,283,1632,1633,284
284,284,1633,1634,285
285,285,1634,1635,286
286,286,1635,1636,287
287,287,1636,1637,288
288,288,1637,1638,289
289,289,1638,1639,290
290,290,1639,1640,291
291,291,1640,1641,292
292,292,1641,1642,293
293,293,1642,1643,294
294,294,1643,1644,295
295,295,1644,1645,296
296,296,1645,1646,297
297,297,1646,1647,298
298,298,1647,1648,299
299,299,1648,1649,300
300,300,1649,1650,301
301,301,1650,1651,302
302,302,1651,1652,303
303,303,1652,1653,304
304,304,1653,1654,305
305,305,1654,1655,306
306,306,1655,1656,307
307,307,1656,1657,308
308,308,1657,1658,309
309,309,1658,1659,310
310,310,1659,1660,311
311,311,1660,1661,312
312,312,1661,1662,313
313,313,1662,1663,314
314,314,1663,1664,315
315,315,1664,1665,316
316,316,1665,1666,317
317,317,1666,1667,318
318,318,1667,1668,319
319,319,1668,1669,320
320,320,1669,1670,321
321,321,1670,1671,322
322,322,1671,1672,323
323,323,1672,1673,324
324,324,1673,1674,325
325,325,1674,1675,326
326,326,1675,1676,327
327,327,1676,1677,328
328,328,1677,1678,329
329,329,1678,1679,330
330,330,1679,1680,331
331,331,1680,1681,332
332,332,1681,1682,333
333,333,1682,1683,334
334,334,1683,1684,335
335,335,1684,1685,336
336,336,1685,1686,337
337,337,1686,1687,338
338,338,1687,1688,339
339,339,1688,1689,340
340,340,1689,1690,341
341,341,1690,1691,342
342,342,1691,1692,343
343,343,1692,1693,344
344,344,1693,1694,345
345,345,1694,1695,346
346,346,1695,1696,347
347,347,1696,1697,348
348,348,1697,1698,349
349,349,1698,1699,350
350,350,1699,1700,351
351,351,1700,1701,352
352,352,1701,1702,353
353,353,1702,1703,354
354,354,1703,1704,355
355,355,1704,1705,356
356,356,1705,1706,357
357,357,1706,1707,358
358,358,1707,1708,359
359,359,1708,1709,360
360,360,1709,1710,361
361,361,1710,1711,362
362,362,1711,1712,363
363,363,1712,1713,364
364,364,1713,1714,365
365,365,1714,1715,366
366,366,1715,1716,367
367,367,1716,1717,368
368,368,1717,1718,369
369,369,1718,1719,370
370,370,1719,1720,371
371,371,1720,1721,372
372,372,1721,1722,373
373,373,1722,1723,374
374,374,1723,1724,375
375,375,1724,1725,376
376,376,1725,1726,377
377,377,1726,1727,378
378,378,1727,1728,379
379,379,1728,1729,380
380,380,1729,1730,381
381,381,1730,1731,382
382,382,1731,1732,383
383,383,1732,1733,384
384,384,1733,1734,385
385,385,1734,1735,386
386,386,1735,1736,387
387,387,1736,1737,388
388,388,1737,1738,389
389,389,1738,1739,390
390,390,1739,1740,391
391,391,1740,1741,392
392,392,1741,1742,393
393,393,1742,1743,394
394,394,1743,1744,395
395,395,1744,1745,396
396,396,1745,1746,397
397,397,1746,1747,398
398,398,1747,1748,399
399,399,1748,1749,400
400,400,1749,1750,401
401,401,1750,1751,402
402,402,1751,1752,403
403,403,1752,1753,404
404,404,1753,1754,405
405,405,1754,1755,406
406,406,1755,1756,407
407,407,1756,1757,408
408,408,1757,1758,409
409,409,1758,1759,410
410,410,1759,1760,411
411,411,1760,1761,412
412,412,1761,1762,413
413,413,1762,1763,414
414,414,1763,1764,415
415,415,1764,1765,416
416,416,1765,1766,417
417,417,1766,1767,418
418,418,1767,1768,419
419,419,1768,1769,420
420,420,1769,1770,421
421,421,1770,1771,422
422,422,1771,1772,423
423,423,1772,1773,424
424,424,1773,1774,425
425,425,1774,1775,426
426,426,1775,1776,427
427,427,1776,1777,428
428,428,1777,1778,429
429,429,1778,1779,430
430,430,1779,1780,431
431,431,1780,1781,432
432,432,1781,1782,433
433,433,1782,1783,434
434,434,1783,1784,435
435,435,1784,1785,436
436,436,1785,1786,437
437,437,1786,1787,438
438,438,1787,1788,439
439,439,1788,1789,440
440,440,1789,1790,441
441,441,1790,1791,442
442,442,1791,1792,443
443,443,1792,1793,444
444,444,1793,1794,445
445,445,1794,1795,446
446,446,1795,1796,447
447,447,1796,1797,448
448,448,1797,1798,449
449,449,1798,1799,450
450,450,1799,1800,451
451,451,1800,1801,452
452,452,1801,1802,453
453,453,1802,1803,454
454,454,1803,1804,455
455,455,1804,1805,456
456,456,1805,1806,457
457,457,1806,1807,458
458,458,1807,1808,459
459,459,1808,1809,460
460,460,1809,1810,461
461,461,1810,1811,462
462,462,1811,1812,463
463,463,1812,1813,464
464,464,1813,1814,465
465,465,1814,1815,466
466,466,1815,1816,467
467,467,1816,1817,468
468,468,1817,1818,469
469,469,1818,1819,470
470,470,1819,1820,471
471,471,1820,1821,472
472,472,1821,1822,473
473,473,1822,1823,474
474,474,1823,1824,475
475,475,1824,1825,476
476,476,1825,1826,477
477,477,1826,1827,478
478,478,1827,1828,479
479,479,1828,1829,480
480,480,1829,1830,481
481,481,1830,1831,482
482,482,1831,1832,483
483,483,1832,1833,484
484,484,1833,1834,485
485,485,1834,1835,486
486,486,1835,1836,487
487,487,1836,1837,488
488,488,1837,1838,489
489,489,1838,1839,490
490,490,1839,1840,491
491,491,1840,1841,492
492,492,1841,1842,493
493,493,1842,1843,494
494,494,1843,1844,495
495,495,1844,1845,496
496,496,1845,1846,497
497,497,1846,1847,498
498,498,1847,1848,499
499,499,1848,1849,500
500,500,1849,1850,501
501,501,1850,1851,502
502,502,1851,1852,503
503,503,1852,1853,504
504,504,1853,1854,505
505,505,1854,1855,506
