node_id,x,y
1,0.00192000,0.00000000
2,0.00191554,0.00020133
3,0.00188996,0.00040172
4,0.00184341,0.00059896
5,0.00177627,0.00079085
6,0.00168915,0.00097523
7,0.00158289,0.00115004
8,0.00145854,0.00131327
9,0.00131735,0.00146306
10,0.00116078,0.00159768
11,0.00099047,0.00171554
12,0.00080820,0.00181524
13,0.00061591,0.00189557
14,0.00041566,0.00195553
15,0.00020961,0.00199432
16,0.00000000,0.00201140
17,-0.00021089,0.00200644
18,-0.00042073,0.00197937
19,-0.00062721,0.00193034
20,-0.00082802,0.00185977
21,-0.00102093,0.00176831
22,-0.00120376,0.00165683
23,-0.00137443,0.00152646
24,-0.00153099,0.00137851
25,-0.00167162,0.00121451
26,-0.00179469,0.00103617
27,-0.00189874,0.00084537
28,-0.00198250,0.00064415
29,-0.00204493,0.00043466
30,-0.00208522,0.00021917
31,-0.00210280,0.00000000
32,-0.00209734,-0.00022044
33,-0.00206877,-0.00043973
34,-0.00201727,-0.00065545
35,-0.00194327,-0.00086520
36,-0.00184746,-0.00106663
37,-0.00173078,-0.00125748
38,-0.00159438,-0.00143559
39,-0.00143967,-0.00159891
40,-0.00126823,-0.00174557
41,-0.00108187,-0.00187385
42,-0.00088255,-0.00198224
43,-0.00067240,-0.00206942
44,-0.00045367,-0.00213433
45,-0.00022872,-0.00217612
46,-0.00000000,-0.00219420
47,0.00022999,-0.00218824
48,0.00045873,-0.00215817
49,0.00068369,-0.00210419
50,0.00090238,-0.00202677
51,0.00111233,-0.00192662
52,0.00131121,-0.00180472
53,0.00149675,-0.00166231
54,0.00166683,-0.00150082
55,0.00181951,-0.00132195
56,0.00195300,-0.00112757
57,0.00206573,-0.00091972
58,0.00215635,-0.00070064
59,0.00222373,-0.00047267
60,0.00226702,-0.00023827
61,0.00228560,-0.00000000
62,0.00227914,0.00023955
63,0.00224757,0.00047774
64,0.00219112,0.00071194
65,0.00211027,0.00093955
66,0.00200577,0.00115803
67,0.00187867,0.00136493
68,0.00173023,0.00155791
69,0.00156198,0.00173476
70,0.00137568,0.00189346
71,0.00117327,0.00203216
72,0.00095690,0.00214923
73,0.00072888,0.00224328
74,0.00049167,0.00231314
75,0.00024783,0.00235792
76,0.00000000,0.00237700
77,-0.00024910,0.00237004
78,-0.00049674,0.00233698
79,-0.00074018,0.00227805
80,-0.00097673,0.00219376
81,-0.00120373,0.00208493
82,-0.00141865,0.00195261
83,-0.00161906,0.00179815
84,-0.00180268,0.00162314
85,-0.00196740,0.00142940
86,-0.00211131,0.00121897
87,-0.00223273,0.00099408
88,-0.00233020,0.00075713
89,-0.00240254,0.00051068
90,-0.00244882,0.00025738
91,-0.00246840,0.00000000
92,-0.00246094,-0.00025865
93,-0.00242638,-0.00051574
94,-0.00236497,-0.00076843
95,-0.00227726,-0.00101390
96,-0.00216408,-0.00124943
97,-0.00202656,-0.00147238
98,-0.00186608,-0.00168022
99,-0.00168430,-0.00187060
100,-0.00148312,-0.00204134
101,-0.00126467,-0.00219047
102,-0.00103125,-0.00231623
103,-0.00078537,-0.00241713
104,-0.00052968,-0.00249194
105,-0.00026694,-0.00253972
106,-0.00000000,-0.00255980
107,0.00026821,-0.00255184
108,0.00053475,-0.00251578
109,0.00079667,-0.00245190
110,0.00105108,-0.00236076
111,0.00129513,-0.00224324
112,0.00152610,-0.00210050
113,0.00174138,-0.00193400
114,0.00193853,-0.00174546
115,0.00211529,-0.00153685
116,0.00226962,-0.00131037
117,0.00239973,-0.00106843
118,0.00250406,-0.00081362
119,0.00258134,-0.00054868
120,0.00263062,-0.00027649
121,0.00265120,-0.00000000
122,0.00264274,0.00027776
123,0.00260519,0.00055375
124,0.00253883,0.00082491
125,0.00244426,0.00108825
126,0.00232239,0.00134083
127,0.00217444,0.00157983
128,0.00200192,0.00180254
129,0.00180662,0.00200645
130,0.00159057,0.00218923
131,0.00135607,0.00234878
132,0.00110560,0.00248322
133,0.00084186,0.00259098
134,0.00056768,0.00267075
135,0.00028604,0.00272152
136,0.00000000,0.00274260
137,-0.00028732,0.00273364
138,-0.00057275,0.00269459
139,-0.00085316,0.00262575
140,-0.00112543,0.00252776
141,-0.00138653,0.00240155
142,-0.00163355,0.00224839
143,-0.00186370,0.00206985
144,-0.00207437,0.00186778
145,-0.00226318,0.00164429
146,-0.00242793,0.00140177
147,-0.00256672,0.00114278
148,-0.00267791,0.00087011
149,-0.00276015,0.00058669
150,-0.00281242,0.00029560
151,-0.00283400,0.00000000
152,-0.00282454,-0.00029687
153,-0.00278399,-0.00059176
154,-0.00271268,-0.00088140
155,-0.00261125,-0.00116261
156,-0.00248070,-0.00143223
157,-0.00232233,-0.00168727
158,-0.00213777,-0.00192486
159,-0.00192893,-0.00214230
160,-0.00169802,-0.00233712
161,-0.00144747,-0.00250709
162,-0.00117995,-0.00265022
163,-0.00089835,-0.00276484
164,-0.00060569,-0.00284955
165,-0.00030515,-0.00290331
166,-0.00000000,-0.00292540
167,0.00030642,-0.00291543
168,0.00061076,-0.00287339
169,0.00090965,-0.00279961
170,0.00119978,-0.00269475
171,0.00147793,-0.00255986
172,0.00174100,-0.00239628
173,0.00198602,-0.00220569
174,0.00221022,-0.00199009
175,0.00241106,-0.00175174
176,0.00258624,-0.00149317
177,0.00273372,-0.00121713
178,0.00285176,-0.00092659
179,0.00293896,-0.00062469
180,0.00299421,-0.00031470
181,0.00301680,-0.00000000
182,0.00300633,0.00031598
183,0.00296280,0.00062976
184,0.00288653,0.00093789
185,0.00277825,0.00123696
186,0.00263901,0.00152363
187,0.00247022,0.00179472
188,0.00227362,0.00204717
189,0.00205125,0.00227815
190,0.00180546,0.00248501
191,0.00153887,0.00266540
192,0.00125431,0.00281722
193,0.00095484,0.00293869
194,0.00064370,0.00302836
195,0.00032426,0.00308511
196,0.00000000,0.00310820
197,-0.00032553,0.00309723
198,-0.00064876,0.00305220
199,-0.00096614,0.00297346
200,-0.00127413,0.00286175
201,-0.00156933,0.00271817
202,-0.00184844,0.00254416
203,-0.00210833,0.00234154
204,-0.00234607,0.00211241
205,-0.00255895,0.00185919
206,-0.00274455,0.00158457
207,-0.00290071,0.00129148
208,-0.00302562,0.00098308
209,-0.00311776,0.00066270
210,-0.00317601,0.00033381
211,-0.00319960,0.00000000
212,-0.00318813,-0.00033509
213,-0.00314160,-0.00066777
214,-0.00306039,-0.00099438
215,-0.00294525,-0.00131131
216,-0.00279732,-0.00161503
217,-0.00261811,-0.00190217
218,-0.00240946,-0.00216949
219,-0.00217357,-0.00241399
220,-0.00191291,-0.00263290
221,-0.00163027,-0.00282370
222,-0.00132866,-0.00298421
223,-0.00101133,-0.00311254
224,-0.00068170,-0.00320716
225,-0.00034337,-0.00326691
226,-0.00000000,-0.00329100
227,0.00034464,-0.00327903
228,0.00068677,-0.00323100
229,0.00102262,-0.00314731
230,0.00134848,-0.00302874
231,0.00166073,-0.00287647
232,0.00195589,-0.00269205
233,0.00223065,-0.00247739
234,0.00248192,-0.00223473
235,0.00270684,-0.00196664
236,0.00290286,-0.00167597
237,0.00306771,-0.00136583
238,0.00319947,-0.00103957
239,0.00329657,-0.00070071
240,0.00335781,-0.00035292
241,0.00338240,-0.00000000
242,0.00336993,0.00035419
243,0.00332041,0.00070577
244,0.00323424,0.00105087
245,0.00311224,0.00138566
246,0.00295563,0.00170643
247,0.00276600,0.00200961
248,0.00254531,0.00229181
249,0.00229589,0.00254984
250,0.00202036,0.00278079
251,0.00172167,0.00298201
252,0.00140301,0.00315121
253,0.00106781,0.00328639
254,0.00071971,0.00338597
255,0.00036247,0.00344871
256,0.00000000,0.00347380
257,-0.00036375,0.00346083
258,-0.00072478,0.00340981
259,-0.00107911,0.00332117
260,-0.00142284,0.00319574
261,-0.00175213,0.00303478
262,-0.00206334,0.00283994
263,-0.00235297,0.00261323
264,-0.00261776,0.00235704
265,-0.00285473,0.00207408
266,-0.00306117,0.00176737
267,-0.00323471,0.00144018
268,-0.00337332,0.00109606
269,-0.00347537,0.00073871
270,-0.00353961,0.00037203
271,-0.00356520,0.00000000
272,-0.00355173,-0.00037330
273,-0.00349921,-0.00074378
274,-0.00340809,-0.00110736
275,-0.00327924,-0.00146001
276,-0.00311394,-0.00179783
277,-0.00291389,-0.00211706
278,-0.00268116,-0.00241413
279,-0.00241820,-0.00268569
280,-0.00212781,-0.00292867
281,-0.00181307,-0.00314032
282,-0.00147736,-0.00331820
283,-0.00112430,-0.00346025
284,-0.00075772,-0.00356477
285,-0.00038158,-0.00363051
286,-0.00000000,-0.00365660
287,0.00038286,-0.00364263
288,0.00076278,-0.00358861
289,0.00113560,-0.00349502
290,0.00149719,-0.00336274
291,0.00184353,-0.00319309
292,0.00217078,-0.00298783
293,0.00247528,-0.00274908
294,0.00275361,-0.00247936
295,0.00300262,-0.00218153
296,0.00321948,-0.00185877
297,0.00340170,-0.00151454
298,0.00354717,-0.00115255
299,0.00365418,-0.00077672
300,0.00372141,-0.00039114
301,0.00374800,-0.00000000
302,0.00373353,0.00039241
303,0.00367802,0.00078179
304,0.00358195,0.00116384
305,0.00344623,0.00153436
306,0.00327225,0.00188923
307,0.00306177,0.00222451
308,0.00281700,0.00253644
309,0.00254052,0.00282153
310,0.00223525,0.00307656
311,0.00190447,0.00329863
312,0.00155171,0.00348520
313,0.00118079,0.00363410
314,0.00079572,0.00374358
315,0.00040069,0.00381231
316,-0.00000000,0.00383940
317,-0.00040196,0.00382443
318,-0.00080079,0.00376742
319,-0.00119209,0.00366887
320,-0.00157154,0.00352973
321,-0.00193493,0.00335140
322,-0.00227823,0.00313572
323,-0.00259760,0.00288493
324,-0.00288946,0.00260168
325,-0.00315051,0.00228898
326,-0.00337779,0.00195017
327,-0.00356870,0.00158889
328,-0.00372103,0.00120904
329,-0.00383298,0.00081473
330,-0.00390321,0.00041024
331,-0.00393080,0.00000000
332,-0.00391533,-0.00041152
333,-0.00385682,-0.00081979
334,-0.00375580,-0.00122033
335,-0.00361323,-0.00160871
336,-0.00343056,-0.00198063
337,-0.00320966,-0.00233196
338,-0.00295285,-0.00265876
339,-0.00266284,-0.00295738
340,-0.00234270,-0.00322445
341,-0.00199587,-0.00345694
342,-0.00162606,-0.00365220
343,-0.00123728,-0.00380795
344,-0.00083373,-0.00392238
345,-0.00041980,-0.00399411
346,-0.00000000,-0.00402220
347,0.00042107,-0.00400623
348,0.00083880,-0.00394623
349,0.00124858,-0.00384272
350,0.00164589,-0.00369673
351,0.00202633,-0.00350971
352,0.00238568,-0.00328361
353,0.00271992,-0.00302077
354,0.00302530,-0.00272400
355,0.00329839,-0.00239642
356,0.00353610,-0.00204157
357,0.00373569,-0.00166324
358,0.00389488,-0.00126552
359,0.00401179,-0.00085273
360,0.00408501,-0.00042935
361,0.00411360,-0.00000000
362,0.00409713,0.00043063
363,0.00403563,0.00085780
364,0.00392965,0.00127682
365,0.00378023,0.00168307
366,0.00358887,0.00207203
367,0.00335755,0.00243940
368,0.00308870,0.00278108
369,0.00278515,0.00309323
370,0.00245015,0.00337234
371,0.00208727,0.00361525
372,0.00170041,0.00381919
373,0.00129377,0.00398181
374,0.00087173,0.00410119
375,0.00043891,0.00417590
376,-0.00000000,0.00420500
377,-0.00044018,0.00418802
378,-0.00087680,0.00412503
379,-0.00130507,0.00401658
380,-0.00172024,0.00386372
381,-0.00211773,0.00366802
382,-0.00249313,0.00343149
383,-0.00284223,0.00315662
384,-0.00316115,0.00284631
385,-0.00344628,0.00250387
386,-0.00369441,0.00213297
387,-0.00390269,0.00173759
388,-0.00406873,0.00132201
389,-0.00419059,0.00089074
390,-0.00426680,0.00044846
391,-0.00429640,0.00000000
392,-0.00427892,-0.00044973
393,-0.00421443,-0.00089581
394,-0.00410350,-0.00133331
395,-0.00394722,-0.00175742
396,-0.00374718,-0.00216343
397,-0.00350544,-0.00254685
398,-0.00322455,-0.00290339
399,-0.00290747,-0.00322907
400,-0.00255759,-0.00352023
401,-0.00217867,-0.00377356
402,-0.00177477,-0.00398619
403,-0.00135026,-0.00415566
404,-0.00090974,-0.00428000
405,-0.00045801,-0.00435770
406,-0.00000000,-0.00438780
407,0.00045929,-0.00436982
408,0.00091481,-0.00430384
409,0.00136155,-0.00419043
410,0.00179459,-0.00403072
411,0.00220913,-0.00382633
412,0.00260057,-0.00357938
413,0.00296455,-0.00329247
414,0.00329700,-0.00296863
415,0.00359417,-0.00261132
416,0.00385272,-0.00222437
417,0.00406969,-0.00181194
418,0.00424259,-0.00137850
419,0.00436940,-0.00092874
420,0.00444860,-0.00046757
421,0.00447920,-0.00000000
422,0.00446072,0.00046884
423,0.00439324,0.00093381
424,0.00427736,0.00138980
425,0.00411422,0.00183177
426,0.00390549,0.00225483
427,0.00365333,0.00265430
428,0.00336039,0.00302571
429,0.00302979,0.00336492
430,0.00266504,0.00366812
431,0.00227007,0.00393187
432,0.00184912,0.00415318
433,0.00140674,0.00432951
434,0.00094775,0.00445880
435,0.00047712,0.00453950
436,0.00000000,0.00457060
437,-0.00047839,0.00455162
438,-0.00095281,0.00448264
439,-0.00141804,0.00436428
440,-0.00186894,0.00419772
441,-0.00230053,0.00398464
442,-0.00270802,0.00372727
443,-0.00308687,0.00342832
444,-0.00343284,0.00309095
445,-0.00374206,0.00271877
446,-0.00401103,0.00231577
447,-0.00423668,0.00188629
448,-0.00441644,0.00143499
449,-0.00454820,0.00096675
450,-0.00463040,0.00048667
451,-0.00466200,0.00000000
452,-0.00464252,-0.00048795
453,-0.00457204,-0.00097182
454,-0.00445121,-0.00144629
455,-0.00428122,-0.00190612
456,-0.00406380,-0.00234623
457,-0.00380121,-0.00276174
458,-0.00349624,-0.00314803
459,-0.00315210,-0.00350077
460,-0.00277249,-0.00381600
461,-0.00236147,-0.00409018
462,-0.00192347,-0.00432018
