step,time_s,phase,V,I_A,T_max_K,T_mean_K,soc_mean
1,15.000000,discharge,3.731700,25.000000,298.3253,298.3235,0.599191
2,65.000000,discharge,3.683190,25.000000,298.8993,298.8935,0.590883
3,115.000000,discharge,3.654986,25.000000,299.3963,299.3871,0.579635
4,165.000000,discharge,3.632364,25.000000,299.8307,299.8185,0.567522
5,215.000000,discharge,3.612424,25.000000,300.2112,300.1964,0.555204
6,265.000000,discharge,3.594502,25.000000,300.5448,300.5278,0.542838
7,315.000000,discharge,3.578468,25.000000,300.8375,300.8185,0.530461
8,365.000000,discharge,3.564207,25.000000,301.0946,301.0738,0.518081
9,415.000000,discharge,3.551521,25.000000,301.3205,301.2982,0.505700
10,465.000000,discharge,3.540146,25.000000,301.5193,301.4956,0.493320
11,515.000000,discharge,3.529805,25.000000,301.6944,301.6695,0.480940
12,565.000000,discharge,3.520238,25.000000,301.8489,301.8230,0.468560
13,615.000000,discharge,3.511221,25.000000,301.9855,301.9587,0.456181
14,665.000000,discharge,3.502558,25.000000,302.1066,302.0789,0.443802
15,715.000000,discharge,3.494079,25.000000,302.2142,302.1858,0.431424
16,765.000000,discharge,3.485622,25.000000,302.3102,302.2811,0.419047
17,815.000000,discharge,3.477030,25.000000,302.3961,302.3665,0.406670
18,865.000000,discharge,3.468130,25.000000,302.4734,302.4433,0.394294
19,915.000000,discharge,3.458732,25.000000,302.5434,302.5128,0.381919
20,965.000000,discharge,3.448627,25.000000,302.6071,302.5761,0.369544
21,1015.000000,discharge,3.437600,25.000000,302.6656,302.6341,0.357170
22,1065.000000,discharge,3.425465,25.000000,302.7197,302.6879,0.344797
23,1115.000000,discharge,3.412126,25.000000,302.7702,302.7380,0.332425
24,1165.000000,discharge,3.397643,25.000000,302.8178,302.7853,0.320054
25,1215.000000,discharge,3.382284,25.000000,302.8631,302.8303,0.307684
26,1265.000000,discharge,3.366505,25.000000,302.9068,302.8737,0.295315
27,1315.000000,discharge,3.350852,25.000000,302.9493,302.9160,0.282946
28,1365.000000,discharge,3.335806,25.000000,302.9913,302.9576,0.270579
29,1415.000000,discharge,3.321655,25.000000,303.0330,302.9990,0.258213
30,1465.000000,discharge,3.308432,25.000000,303.0750,303.0408,0.245848
31,1515.000000,discharge,3.295900,25.000000,303.1177,303.0832,0.233484
32,1565.000000,discharge,3.283533,25.000000,303.1616,303.1268,0.221121
33,1615.000000,discharge,3.270408,25.000000,303.2072,303.1720,0.208759
34,1665.000000,discharge,3.254958,25.000000,303.2548,303.2193,0.196398
35,1715.000000,discharge,3.234645,25.000000,303.3050,303.2692,0.184039
36,1765.000000,discharge,3.206050,25.000000,303.3583,303.3221,0.171681
37,1810.000000,rest,3.349767,0.000000,303.0776,303.0430,0.161268
38,1860.000000,rest,3.388806,0.000000,302.5113,302.4806,0.156445
39,1910.000000,rest,3.401478,0.000000,302.0082,301.9809,0.154427
40,1960.000000,rest,3.407241,0.000000,301.5612,301.5369,0.153740
41,2010.000000,rest,3.410750,0.000000,301.1640,301.1425,0.153511
42,2060.000000,rest,3.413272,0.000000,300.8111,300.7920,0.153435
