===== JuBat Debug Log 1764687579 =====
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7338699917508372 W (nd=5.715893661379857)

[Solve] 初始化完成: V=4.034167426950418 V, t_end=3600.0
start to solve the problem 
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7338700256371502 W (nd=5.715893925310205)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7354222742048498 W (nd=5.72798392469529)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7377731090919265 W (nd=5.746293873843006)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7401896300006887 W (nd=5.765115431748694)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.742512901127952 W (nd=5.7832106950232)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7447777618337209 W (nd=5.800851017011469)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7469874639102092 W (nd=5.818061724949539)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7491463708221824 W (nd=5.834876804558144)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7512435969176393 W (nd=5.851211470752769)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7532821114915542 W (nd=5.86708885048303)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7552559353925477 W (nd=5.882462373928854)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.757170030676469 W (nd=5.897370689057725)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7590204812270839 W (nd=5.91178329441269)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.760812305843251 W (nd=5.925739279915543)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7625424120879963 W (nd=5.939214559500502)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7642155745100729 W (nd=5.952246320698408)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7658292647173943 W (nd=5.964814870620247)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7673880180704453 W (nd=5.9769555338310445)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7688897548369071 W (nd=5.9886521119184)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7703387863835284 W (nd=5.999938184827188)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7717333954761232 W (nd=6.010800377534438)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7730776762499718 W (nd=6.021270578034153)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7743702033665749 W (nd=6.031337684791479)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.775614856344744 W (nd=6.041031914216996)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7768104435761977 W (nd=6.050343985230539)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7779606322260906 W (nd=6.059302460283633)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7790644171558934 W (nd=6.067899510653187)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7801252570249303 W (nd=6.076162074801234)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7811422953146859 W (nd=6.084083481561477)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7821187881616907 W (nd=6.091689092006538)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7839617898078248 W (nd=6.1060436800745395)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7872576433392451 W (nd=6.1317140965254655)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7924492195994435 W (nd=6.172149729773586)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7966118982488388 W (nd=6.204571587560242)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7986363144238907 W (nd=6.220339159082505)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7991470283084471 W (nd=6.224316956632927)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.798642155212112 W (nd=6.220384651233358)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7974577302408936 W (nd=6.211159519723054)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7958481494614997 W (nd=6.198622976905073)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7939849832190901 W (nd=6.184111332833513)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7919651658873963 W (nd=6.168379580325375)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7898519495437009 W (nd=6.151920370874345)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.787673383750657 W (nd=6.1349521741265125)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7854365295199249 W (nd=6.1175299861877885)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7831348841904964 W (nd=6.099603159778335)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7807664981941328 W (nd=6.081156510294795)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7783263808069807 W (nd=6.062151166483188)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7758178192076495 W (nd=6.0426127311935955)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7732478464025611 W (nd=6.022595982407509)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7706334954506886 W (nd=6.002233585521953)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7679877417727007 W (nd=5.981626602203963)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.76532621919229 W (nd=5.960896799625861)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7626595581433379 W (nd=5.94012697505463)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7600010927889743 W (nd=5.919420984294944)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7573572955040819 W (nd=5.898829238737074)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7547370938568019 W (nd=5.878421272536556)
