time_s,T_2d_equiv_K,T_edge_K,T_lumped_K,T_pybamm_K,Pin_2d_W,Pout_2d_W,Pnet_2d_W,Pin_lumped_W,Pout_lumped_W,Pnet_lumped_W,Pnet_pybamm_equiv_W,P_rxn_2d_W,P_ohm_2d_W,P_rev_2d_W,Q_total_pybamm_W,Q_ohmic_pybamm_W,Q_irreversible_pybamm_W,Q_reversible_pybamm_W
0,298.15,298.15,298.15,298.15,0.6558023939,0,0.6558023939,0.58571445,0,0.58571445,0.8343179851,0.5217683256,0.1340340682,0,0.72292,0.135163,0.587757,0
0.5,298.1570339,298.1569876,298.1500004,298.1585,0.655802225,0.0003225854384,0.6554796396,0.5857142624,2.049163188e-08,0.5857142419,0.8343179851,0.5217681568,0.1340340682,0,0.72398265,0.1374407,0.58654195,0
1,298.1640519,298.1639429,298.1559677,298.167,0.6536732117,0.0006437792427,0.6530294325,0.5833500338,0.000284626516,0.5830654073,0.8343179851,0.5196391438,0.1340340679,0,0.7250453,0.1397184,0.5853269,0
1.5,298.1710452,298.1708657,298.1619214,298.1755,0.6518874852,0.0009635174488,0.6509239677,0.5813695259,0.0005685889387,0.580800937,0.8343179851,0.5178534176,0.1340340676,0,0.72610795,0.1419961,0.58411185,0
2,298.1780166,298.1777583,298.1678501,298.184,0.6503282557,0.001281914915,0.6490463407,0.5796422541,0.0008513576428,0.5787908965,0.8343179851,0.5162941884,0.1340340672,0,0.7271706,0.1442738,0.5828968,0
2.5,298.1849684,298.1846252,298.1737571,298.1925,0.6489282524,0.0015991609,0.6473290915,0.5780929978,0.001133087827,0.57695991,0.8343179851,0.5148941855,0.1340340669,0,0.72823325,0.1465515,0.58168175,0
3,298.1919021,298.1914677,298.1796444,298.201,0.647643732,0.001915319574,0.6457284124,0.5766728598,0.00141388481,0.575258975,0.8343179851,0.5136096654,0.1340340666,0,0.7292959,0.1488292,0.5804667,0
3.5,298.1988186,298.1982882,298.1855138,298.2095,0.6464478525,0.002230491405,0.6442173611,0.5753518198,0.00169382369,0.5736579961,0.8343179851,0.5124137863,0.1340340662,0,0.73035855,0.1511069,0.57925165,0
4,298.2057189,298.2050876,298.1913664,298.218,0.6453215472,0.002544719501,0.6427768277,0.5741085652,0.001972960349,0.5721356049,0.8343179851,0.5112874813,0.1340340659,0,0.7314212,0.1533846,0.5780366,0
4.5,298.2126037,298.2118673,298.197203,298.2265,0.6442527498,0.002858067506,0.6413946823,0.572929598,0.002251338166,0.5706782599,0.8343179851,0.5102186843,0.1340340655,0,0.73248385,0.1556623,0.57682155,0
5.5,298.2263396,298.225382,298.2030245,298.2435,0.643231954,0.0034827597,0.6397491943,0.5718042927,0.002528992037,0.5692753006,0.8343179851,0.5091978889,0.1340340651,0,0.73460915,0.1602177,0.57439145,0
7.5,298.2537036,298.2522675,298.2146383,298.2775,0.6413092462,0.004725724645,0.6365835215,0.5696865294,0.00308290992,0.5666036195,0.8379987997,0.5072751818,0.1340340644,0,0.73885975,0.1693285,0.56953125,0
11.5,298.3080223,298.3055289,298.2377829,298.34595,0.6378334475,0.007188746026,0.6306447014,0.5658638689,0.004186785848,0.5616770831,0.8459738981,0.5037993847,0.1340340627,0,0.7468364,0.1853928,0.5614436,0
19.5,298.4151536,298.4103254,298.2837624,298.48435,0.6319213254,0.01203646786,0.6198848575,0.5593788432,0.006379769424,0.5529990738,0.8542216494,0.4978872662,0.1340340592,0,0.7610412,0.2103304,0.5507108,0
29.5,298.5461538,298.5382242,298.3746126,298.65925,0.6226958838,0.01795436884,0.604741515,0.5493050401,0.01071285161,0.5385921885,0.8562801791,0.4886618327,0.1340340511,0,0.7740966,0.2332944,0.5408022,0
39.5,298.6738395,298.6627624,298.4858235,298.8333,0.6140757215,0.02371753215,0.5903581893,0.5399496625,0.0160170319,0.5239326306,0.8564028729,0.4800416813,0.1340340402,0,0.78321955,0.25021095,0.5330086,0
49.5,298.7985121,298.78431,298.5940732,299.00825,0.6073347626,0.02934261473,0.5779921479,0.5326772786,0.02117997467,0.5114973039,0.8540716903,0.4733007333,0.1340340293,0,0.78939735,0.26290655,0.5264908,0
59.5,298.9205292,298.9032484,298.6995624,299.18135,0.6017602415,0.03484707492,0.5669131666,0.5266943532,0.02621125996,0.5004830932,0.8469554486,0.4677262226,0.1340340189,0,0.7933831,0.27258925,0.52079385,0
69.5,299.0401268,299.0198202,298.8026626,299.3534,0.5969605485,0.04024205767,0.5567184908,0.521565433,0.03112860097,0.490436832,0.8395938194,0.4629265394,0.1340340091,0,0.79572685,0.28007605,0.5156508,0
79.5,299.1574708,299.1341927,298.9036171,299.5235,0.5926982645,0.04553527117,0.5471629933,0.5170268805,0.03594360649,0.481083274,0.8299010075,0.4586642646,0.1340339999,0,0.7968318,0.2859284,0.51090245,0
89.5,299.2726841,299.2464875,299.0025952,299.6916,0.5888227863,0.05073233231,0.5380904539,0.5129117411,0.04066434582,0.4722473953,0.8200855018,0.454788795,0.1340339913,0,0.7969961,0.290549,0.5064461,0
99.5,299.3858618,299.3567981,299.0997202,299.8577,0.585236826,0.05583756722,0.5293992588,0.5091123545,0.04529670037,0.4638156542,0.8102699961,0.4512028428,0.1340339832,0,0.7964415,0.29422455,0.50221595,0
109.5,299.4970806,299.4651994,299.1950859,300.0218,0.5818747998,0.06085443882,0.521020361,0.5055562916,0.04984514937,0.4557111423,0.7981233078,0.4478408242,0.1340339757,0,0.7953347,0.2971667,0.49816795,0
119.5,299.6064046,299.5717541,299.288767,300.18295,0.5786918426,0.06578584668,0.5129059959,0.5021941072,0.05431324662,0.4478808606,0.7858539256,0.444657874,0.1340339686,0,0.7938055,0.29953405,0.49427145,0
129.5,299.7138889,299.6765158,299.3808246,300.34205,0.5756557883,0.07063427314,0.5050215152,0.4989904308,0.05870391469,0.4402865161,0.7759157261,0.4416218263,0.134033962,0,0.7919534,0.3014484,0.49050595,0
139.5,299.8195823,299.7795321,299.4713107,300.49915,0.5727436042,0.07540192005,0.4973416842,0.4959199896,0.06301963254,0.4329003571,0.7637690378,0.4387096483,0.1340339559,0,0.7898574,0.3030022,0.4868543,0
149.5,299.9235285,299.8808455,299.5602707,300.6533,0.5699377926,0.08009075787,0.4898470347,0.4929636258,0.06726255823,0.4257010676,0.7514996557,0.4359038423,0.1340339503,0,0.7875765,0.3042703,0.48330615,0
159.5,300.0257676,299.9804954,299.6477447,300.8054,0.5672254004,0.08470260178,0.4825227986,0.4901071874,0.07143461138,0.418672576,0.7392302735,0.4331914554,0.134033945,0,0.7851611,0.3053077,0.4798534,0
169.5,300.1263369,300.0785177,299.7337691,300.95455,0.5645960257,0.08923912282,0.4753569029,0.48733933,0.07553752994,0.4118018001,0.7269608914,0.4305620856,0.1340339401,0,0.7826479,0.3061608,0.4764871,0
179.5,300.2252712,300.1749466,299.8183775,301.10165,0.5620418084,0.09370189839,0.46833991,0.484651499,0.07957291019,0.4050785888,0.7146915093,0.4280078728,0.1340339356,0,0.7800691,0.30686515,0.473203,0
189.5,300.3226035,300.269814,299.901601,301.2458,0.5595560803,0.09809240703,0.4614636733,0.482036446,0.08354223553,0.3984942105,0.7024221271,0.4255221488,0.1340339315,0,0.77744625,0.30745005,0.46999615,0
199.5,300.4183649,300.3631505,299.9834687,301.3879,0.5571337622,0.1024120668,0.4547216955,0.4794886618,0.08744689762,0.3920417642,0.6924839276,0.4230998345,0.1340339277,0,0.77480035,0.3079369,0.46686345,0
209.5,300.5125855,300.4549852,300.0640082,301.528,0.5547702958,0.1066622222,0.4481080736,0.4770032051,0.09128821211,0.385714993,0.6803372393,0.4207363716,0.1340339243,0,0.7721467,0.30834575,0.4638,0
219.5,300.605294,300.5453464,300.1432458,301.66515,0.5524622213,0.1108441766,0.4416180447,0.4745763345,0.09506743077,0.3795089037,0.6680678571,0.4184283002,0.1340339211,0,0.76949555,0.3086909,0.4608046,0
229.5,300.6965182,300.6342607,300.2212065,301.80025,0.5502062438,0.114959175,0.4352470688,0.472204487,0.09878575068,0.3734187363,0.6581296576,0.4161723255,0.1340339183,0,0.7668569,0.3089835,0.4578734,0
239.5,300.7862849,300.7217547,300.2979145,301.93335,0.5479998966,0.119008433,0.4289914635,0.4698850033,0.1024443215,0.3674406818,0.6459829693,0.4139659808,0.1340339157,0,0.76423885,0.30923455,0.4550043,0
249.5,300.8746201,300.8078533,300.3733929,302.0635,0.5458406776,0.1229931178,0.4228475598,0.4676151837,0.1060442513,0.3615709324,0.6337135872,0.4118067641,0.1340339134,0,0.7616475,0.30945125,0.45219625,0
259.5,300.961549,300.8925815,300.4476644,302.1916,0.5437267546,0.1269143742,0.4168123804,0.4653930596,0.1095866112,0.3558064484,0.6261065703,0.4096928432,0.1340339114,0,0.759086,0.30963965,0.44944635,0
269.5,301.0470962,300.975963,300.5207505,302.31865,0.5416561426,0.1307733055,0.4108828371,0.4632164935,0.1130724388,0.3501440547,0.6164137584,0.4076222329,0.1340339096,0,0.75655735,0.3098048,0.44675255,0
279.5,301.1312857,301.0580212,300.5926725,302.4428,0.5396274289,0.1345709975,0.4050564314,0.4610839737,0.1165027417,0.3445812319,0.6019358874,0.4055935208,0.1340339081,0,0.7540655,0.3099517,0.4441138,0
289.5,301.2141409,301.138779,300.6634508,302.56395,0.5376389769,0.138308499,0.3993304778,0.4589937415,0.1198785,0.3391152415,0.5918749941,0.4036050701,0.1340339068,0,0.7516116,0.3100825,0.4415291,0
299.5,301.2956846,301.2182585,300.7331056,302.684,0.5356896603,0.1419868449,0.3937028154,0.4569445966,0.1232006678,0.3337439289,0.584390671,0.4016557546,0.1340339057,0,0.74919665,0.3102011,0.43899555,0
309.5,301.375939,301.2964814,300.8016562,302.8021,0.5337780846,0.1456070361,0.3881710485,0.4549350441,0.1264701758,0.3284648683,0.5746978591,0.3997441798,0.1340339048,0,0.7468226,0.31030865,0.436513,0
319.5,301.4549261,301.3734692,300.8691218,302.9182,0.5319033249,0.1491700622,0.3827332627,0.4529641026,0.1296879323,0.3232761703,0.5625511708,0.3978694208,0.1340339041,0,0.7444886,0.31040805,0.4340805,0
329.5,301.5326672,301.4492425,300.9355209,303.03135,0.5300641603,0.1526768815,0.3773872788,0.451030466,0.1328548246,0.3181756414,0.5526129713,0.3960302568,0.1340339036,0,0.74219555,0.3105004,0.43169515,0
339.5,301.6091831,301.5238219,301.0008718,303.1434,0.5282598115,0.1561284425,0.3721313691,0.4491333115,0.1359717202,0.3131615913,0.5451286482,0.3942259083,0.1340339032,0,0.73994255,0.31058575,0.4293568,0
349.5,301.6844945,301.5972271,301.0651922,303.2535,0.5264891864,0.1595256643,0.3669635221,0.447271473,0.1390394679,0.3082320051,0.5354358363,0.3924552833,0.134033903,0,0.7377305,0.31066695,0.42706355,0
359.5,301.7586213,301.6694778,301.1284995,303.3616,0.5247516141,0.1628694579,0.3618821562,0.4454442459,0.1420588981,0.3033853478,0.5279515132,0.390717711,0.134033903,0,0.73555945,0.3107432,0.42481625,0
369.5,301.8315833,301.7405932,301.1908109,303.46865,0.5230461008,0.1661607063,0.3568853945,0.4436505711,0.1450308243,0.2986197468,0.5182587013,0.3890121977,0.1340339031,0,0.7334275,0.31081635,0.42261115,0
379.5,301.9033997,301.8105922,301.2521429,303.5728,0.5213720595,0.1694002855,0.351971774,0.4418898349,0.1479560434,0.2939337915,0.5084431956,0.3873381561,0.1340339034,0,0.7313355,0.31088555,0.42044995,0
389.5,301.9740896,301.8794931,301.312512,303.67585,0.5197285739,0.1725890448,0.3471395291,0.4401610626,0.1508353361,0.2893257265,0.5009588725,0.3856946701,0.1340339038,0,0.72928255,0.31095265,0.4183299,0
399.5,302.0436714,301.9473141,301.3719343,303.77695,0.5181151231,0.1757278274,0.3423872958,0.4384637124,0.1536694681,0.2847942444,0.4912660606,0.3840812188,0.1340339043,0,0.7272667,0.3110168,0.4162499,0
409.5,302.1121635,302.0140729,301.4304254,303.87605,0.5165308543,0.1788174509,0.3377134033,0.4367968783,0.1564591898,0.2803376885,0.4814505549,0.3824969493,0.134033905,0,0.72528975,0.3110789,0.41421085,0
419.5,302.1795838,302.0797871,301.4880009,303.97315,0.5149753003,0.1818587277,0.3331165725,0.4351600771,0.1592052375,0.2759548396,0.4739662318,0.3809413945,0.1340339058,0,0.72334895,0.311139,0.41220995,0
429.5,302.2459497,302.1444737,301.5446757,304.0692,0.5134476613,0.1848524456,0.3285952157,0.43355246,0.1619083334,0.2716441266,0.4689357851,0.3794137547,0.1340339066,0,0.7214451,0.31119805,0.41024705,0
439.5,302.3112787,302.2081496,301.6004649,304.16425,0.5119475154,0.1877993875,0.3241481279,0.4319735927,0.1645691861,0.2674044065,0.4593656671,0.3779136078,0.1340339076,0,0.71957635,0.31125515,0.4083212,0
449.5,302.3755875,302.2708311,301.655383,304.2564,0.5104741081,0.190700313,0.3197737951,0.4304226756,0.1671884913,0.2632341843,0.4495501614,0.3764401994,0.1340339087,0,0.7177426,0.31131025,0.40643235,0
459.5,302.4388929,302.3325347,301.7094442,304.34745,0.509027056,0.1935559771,0.3154710789,0.4288993161,0.1697669315,0.2591323846,0.4443970209,0.3749931462,0.1340339098,0,0.71594385,0.3113643,0.40457955,0
469.5,302.5012111,302.3932762,301.7626627,304.4375,0.5076056445,0.1963671124,0.3112385321,0.4274027574,0.1723051768,0.2550975806,0.4371580854,0.3735717335,0.1340339111,0,0.7141782,0.31141735,0.40276085,0
