time_s,T_jubat_vol_K,T_pybamm_interp_K,P_internal_W,P_boundary_outer_W,P_boundary_surface_W,P_boundary_total_W,P_net_jubat_W,P_net_pybamm_equiv_W,P_Q_rxn_NE_W,P_Q_rev_NE_W,P_Q_ohm_s_NE_W,P_Q_ohm_e_NE_W,P_Q_SP_W,P_Q_rxn_PE_W,P_Q_rev_PE_W,P_Q_ohm_s_PE_W,P_Q_ohm_e_PE_W,P_Q_PCC_W,P_Q_NCC_W
0,298.15,298.15,0.6688959973,0,0,0,0.6688959973,1.275893413,0.468735723,0,4.056493823e-05,0.05276084442,0.00855307308,0.06220601463,-0,0.04710173163,0.02949804553,1.620157706e-11,7.311396898e-12
0.5,298.1542664,298.1585,0.6688958162,0,2.726273946e-05,2.726273946e-05,0.6688685535,1.275893413,0.4687355333,0,4.056493823e-05,0.05276084442,0.00855307308,0.06220602328,-0,0.04710173163,0.02949804553,1.620157706e-11,7.311396898e-12
1,298.1585242,298.167,0.6667227085,0,5.447005289e-05,5.447005289e-05,0.6666682385,1.275893413,0.4664471465,0,4.056493824e-05,0.05276084444,0.008553073082,0.06232130238,-0,0.04710173161,0.02949804552,1.620157706e-11,7.3113969e-12
1.5,298.1627684,298.1755,0.6650456495,0,8.159033859e-05,8.159033859e-05,0.6649640592,1.275893413,0.4646593096,0,4.056493824e-05,0.05276084443,0.008553073081,0.06243208034,-0,0.04710173162,0.02949804553,1.620157706e-11,7.311396898e-12
2,298.1670011,298.184,0.6636226732,0,0.0001086378521,0.0001086378521,0.6635140354,1.275893413,0.4631269489,0,4.056493824e-05,0.05276084444,0.008553073082,0.06254146466,-0,0.04710173161,0.02949804552,1.620157706e-11,7.3113969e-12
2.5,298.171224,298.1925,0.6623505796,0,0.0001356219256,0.0001356219256,0.6622149577,1.275893413,0.4617463851,0,4.056493824e-05,0.05276084443,0.008553073081,0.06264993485,-0,0.04710173162,0.02949804552,1.620157706e-11,7.311396899e-12
3,298.1754376,298.201,0.6611783869,0,0.0001625472156,0.0001625472156,0.6610158397,1.275893413,0.4604659176,0,4.056493824e-05,0.05276084444,0.008553073082,0.06275820972,-0,0.04710173161,0.02949804552,1.620157706e-11,7.3113969e-12
3.5,298.1796427,298.2095,0.6600803638,0,0.0001894176823,0.0001894176823,0.6598909461,1.275893413,0.4592598374,0,4.056493824e-05,0.05276084443,0.008553073081,0.06286626684,-0,0.04710173162,0.02949804552,1.620157706e-11,7.311396899e-12
4,298.1838395,298.218,0.6590403307,0,0.0002162353568,0.0002162353568,0.6588240954,1.275893413,0.4581116587,0,4.056493824e-05,0.05276084444,0.008553073082,0.06297441241,-0,0.04710173161,0.02949804552,1.620157706e-11,7.3113969e-12
5,298.1922159,298.235,0.6580489314,0,0.0002697609303,0.0002697609303,0.6577791705,1.275893413,0.457012155,0,4.056493824e-05,0.05276084443,0.008553073081,0.06308251677,-0,0.04710173162,0.02949804552,1.620157706e-11,7.311396899e-12
7,298.2089165,298.269,0.6561839635,0,0.0003764786792,0.0003764786792,0.6558074849,1.279646041,0.4549306597,0,4.056493824e-05,0.05276084444,0.008553073082,0.06329904427,-0,0.04710173161,0.02949804552,1.620157706e-11,7.3113969e-12
11,298.2421192,298.3373,0.6528228599,0,0.0005886446918,0.0005886446918,0.6522342152,1.292780238,0.4511367298,0,4.056493824e-05,0.05276084443,0.008553073082,0.06373187041,-0,0.04710173162,0.02949804552,1.620157706e-11,7.311396899e-12
19,298.3078025,298.4757,0.6471353926,0,0.001008363361,0.001008363361,0.6461270292,1.305914435,0.4445953348,0,4.056493825e-05,0.05276084444,0.008553073083,0.06458579819,-0,0.04710173161,0.02949804552,1.620157706e-11,7.3113969e-12
29,298.3884962,298.6505,0.6383448168,0,0.001523999055,0.001523999055,0.6368208178,1.3092918,0.434211515,0,4.056493825e-05,0.05276084444,0.008553073083,0.06617904218,-0,0.0471017316,0.02949804551,1.620157706e-11,7.311396901e-12
39,298.4676053,298.8246,0.630236559,0,0.002029508787,0.002029508787,0.6282070502,1.309667063,0.424434083,0,4.056493826e-05,0.05276084446,0.008553073085,0.06784821636,-0,0.04710173159,0.0294980455,1.620157705e-11,7.311396903e-12
49,298.5452855,298.9995,0.623972417,0,0.002525887793,0.002525887793,0.6214465292,1.306289698,0.4168886164,0,4.056493826e-05,0.05276084446,0.008553073086,0.06912954101,-0,0.04710173159,0.0294980455,1.620157705e-11,7.311396903e-12
59,298.621736,299.1727,0.6188444927,0,0.003014409454,0.003014409454,0.6158300833,1.299773771,0.4108060003,0,4.056493827e-05,0.05276084447,0.008553073088,0.07008423282,-0,0.04710173157,0.02949804549,1.620157704e-11,7.311396905e-12
60,298.6292917,299.19,0.614464709,0,0.003062690656,0.003062690656,0.6114020183,1.29840918,0.4057244985,0,4.056493827e-05,0.05276084448,0.008553073089,0.07078595093,-0,0.04710173157,0.02949804549,1.620157704e-11,7.311396905e-12
