time_s,T_jelly_K,T_ring_K,T_diff_K,q_mean_Wm3
0,298.15,298.15,-2.273736754e-13,33912.41709
0.5,298.1570329,298.1567299,0.0003030260842,33912.40836
1,298.1640483,298.1634407,0.0006075954279,33802.31474
1.5,298.1710371,298.1701259,0.0009112161868,33709.97388
2,298.1780025,298.1767899,0.001212579054,33629.34639
2.5,298.1849466,298.183433,0.001513531835,33556.95359
3,298.1918709,298.1900581,0.001812792167,33490.53341
3.5,298.1987767,298.1966648,0.002111909965,33428.69779
4,298.2056648,298.2032551,0.002409663174,33370.46074
5,298.2194021,298.2163996,0.003002515109,33315.19828
7,298.246751,298.2425641,0.004186941594,33211.70497
11,298.3009826,298.2944203,0.006562301649,33026.03957
19,298.4078026,298.3963819,0.01142065083,32712.55525
29,298.5383513,298.5204843,0.0178670263,32226.62135
39,298.6657506,298.6408301,0.02492044671,31774.89687
49,298.790515,298.7577452,0.03276982675,31422.77886
59,298.913166,298.8715985,0.04156750379,31132.08867
60,298.925281,298.8827712,0.04250980884,30881.96387
