time [s],capacity [A.h],voltage [V],temperature [K]
0,0,4.03636,298.15
10,0.0138889,3.99798,298.32
20,0.0277778,3.97696,298.493
30,0.0416667,3.96372,298.668
40,0.0555556,3.95484,298.842
50,0.0694444,3.94873,299.017
60,0.0833333,3.94449,299.19
70,0.0972222,3.94153,299.362
80,0.111111,3.93946,299.532
90,0.125,3.93799,299.7
100,0.138889,3.93691,299.866
110,0.152778,3.93607,300.03
120,0.166667,3.93534,300.191
130,0.180556,3.93465,300.35
140,0.194444,3.93391,300.507
150,0.208333,3.93309,300.661
160,0.222222,3.93216,300.813
170,0.236111,3.93109,300.962
180,0.25,3.92987,301.109
190,0.263889,3.92849,301.253
200,0.277778,3.92696,301.395
210,0.291667,3.92527,301.535
220,0.305556,3.92343,301.672
230,0.319444,3.92146,301.807
240,0.333333,3.91936,301.94
250,0.347222,3.91714,302.07
260,0.361111,3.91481,302.198
270,0.375,3.91239,302.325
280,0.388889,3.90988,302.449
290,0.402778,3.90731,302.57
300,0.416667,3.90467,302.69
310,0.430556,3.90198,302.808
320,0.444444,3.89924,302.924
330,0.458333,3.89648,303.037
340,0.472222,3.89369,303.149
350,0.486111,3.89088,303.259
360,0.5,3.88806,303.367
370,0.513889,3.88524,303.474
380,0.527778,3.88242,303.578
390,0.541667,3.87961,303.681
400,0.555556,3.87681,303.782
410,0.569444,3.87403,303.881
420,0.583333,3.87126,303.978
430,0.597222,3.86852,304.074
440,0.611111,3.8658,304.169
450,0.625,3.8631,304.261
460,0.638889,3.86044,304.352
470,0.652778,3.8578,304.442
480,0.666667,3.8552,304.53
490,0.680556,3.85262,304.617
500,0.694444,3.85008,304.702
510,0.708333,3.84757,304.786
520,0.722222,3.8451,304.868
530,0.736111,3.84266,304.949
540,0.75,3.84025,305.028
550,0.763889,3.83787,305.107
560,0.777778,3.83552,305.183
570,0.791667,3.83321,305.259
580,0.805556,3.83093,305.333
590,0.819444,3.82868,305.406
600,0.833333,3.82646,305.478
610,0.847222,3.82426,305.549
620,0.861111,3.8221,305.618
630,0.875,3.81996,305.687
640,0.888889,3.81784,305.754
650,0.902778,3.81575,305.82
660,0.916667,3.81369,305.885
670,0.930556,3.81164,305.949
680,0.944444,3.80962,306.012
690,0.958333,3.80762,306.073
700,0.972222,3.80564,306.134
710,0.986111,3.80367,306.194
720,1,3.80172,306.253
730,1.01389,3.79979,306.311
740,1.02778,3.79786,306.367
750,1.04167,3.79595,306.423
760,1.05556,3.79405,306.478
770,1.06944,3.79216,306.532
780,1.08333,3.79028,306.585
790,1.09722,3.7884,306.638
800,1.11111,3.78653,306.689
810,1.125,3.78465,306.739
820,1.13889,3.78278,306.789
830,1.15278,3.78091,306.838
840,1.16667,3.77903,306.886
850,1.18056,3.77714,306.933
860,1.19444,3.77524,306.98
870,1.20833,3.77333,307.025
880,1.22222,3.77141,307.07
890,1.23611,3.76947,307.115
900,1.25,3.7675,307.158
910,1.26389,3.76551,307.201
920,1.27778,3.76349,307.243
930,1.29167,3.76144,307.284
940,1.30556,3.75935,307.325
950,1.31944,3.75722,307.365
960,1.33333,3.75503,307.404
970,1.34722,3.75279,307.443
980,1.36111,3.7505,307.481
990,1.375,3.74813,307.518
1000,1.38889,3.7457,307.555
1010,1.40278,3.74318,307.591
1020,1.41667,3.74058,307.627
1030,1.43056,3.73789,307.662
1040,1.44444,3.7351,307.697
1050,1.45833,3.73221,307.73
1060,1.47222,3.72922,307.764
1070,1.48611,3.72613,307.797
1080,1.5,3.72292,307.829
1090,1.51389,3.71962,307.861
1100,1.52778,3.71621,307.892
1110,1.54167,3.71272,307.923
1120,1.55556,3.70914,307.953
1130,1.56944,3.70548,307.983
1140,1.58333,3.70177,308.012
1150,1.59722,3.69802,308.041
1160,1.61111,3.69423,308.069
1170,1.625,3.69043,308.097
1180,1.63889,3.68664,308.124
1190,1.65278,3.68286,308.151
1200,1.66667,3.67912,308.177
1210,1.68056,3.67541,308.204
1220,1.69444,3.67175,308.229
1230,1.70833,3.66816,308.254
1240,1.72222,3.66462,308.279
1250,1.73611,3.66115,308.304
1260,1.75,3.65775,308.328
1270,1.76389,3.65441,308.352
1280,1.77778,3.65114,308.375
1290,1.79167,3.64793,308.398
1300,1.80556,3.64478,308.421
1310,1.81944,3.64169,308.443
1320,1.83333,3.63865,308.465
1330,1.84722,3.63566,308.486
1340,1.86111,3.63273,308.508
1350,1.875,3.62983,308.529
1360,1.88889,3.62698,308.549
1370,1.90278,3.62417,308.57
1380,1.91667,3.6214,308.59
1390,1.93056,3.61867,308.609
1400,1.94444,3.61597,308.629
1410,1.95833,3.61331,308.648
1420,1.97222,3.61069,308.667
1430,1.98611,3.60809,308.685
1440,2,3.60554,308.703
1450,2.01389,3.60301,308.721
1460,2.02778,3.60052,308.739
1470,2.04167,3.59806,308.757
1480,2.05556,3.59563,308.774
1490,2.06944,3.59323,308.791
1500,2.08333,3.59087,308.807
1510,2.09722,3.58854,308.824
1520,2.11111,3.58624,308.84
1530,2.125,3.58398,308.856
1540,2.13889,3.58174,308.872
1550,2.15278,3.57954,308.887
1560,2.16667,3.57737,308.902
1570,2.18056,3.57523,308.918
1580,2.19444,3.57312,308.932
1590,2.20833,3.57103,308.947
1600,2.22222,3.56898,308.961
1610,2.23611,3.56696,308.976
1620,2.25,3.56496,308.99
1630,2.26389,3.56299,309.004
1640,2.27778,3.56105,309.017
1650,2.29167,3.55914,309.031
1660,2.30556,3.55724,309.044
1670,2.31944,3.55538,309.057
1680,2.33333,3.55353,309.07
1690,2.34722,3.55171,309.083
1700,2.36111,3.54991,309.095
1710,2.375,3.54813,309.108
1720,2.38889,3.54637,309.12
1730,2.40278,3.54463,309.132
1740,2.41667,3.54291,309.144
1750,2.43056,3.54121,309.156
1760,2.44444,3.53952,309.168
1770,2.45833,3.53785,309.179
1780,2.47222,3.53619,309.191
1790,2.48611,3.53454,309.202
1800,2.5,3.53291,309.213
1810,2.51389,3.53129,309.224
1820,2.52778,3.52968,309.235
1830,2.54167,3.52809,309.246
1840,2.55556,3.5265,309.257
1850,2.56944,3.52492,309.267
1860,2.58333,3.52335,309.278
1870,2.59722,3.52178,309.288
1880,2.61111,3.52022,309.298
1890,2.625,3.51867,309.308
1900,2.63889,3.51712,309.318
1910,2.65278,3.51558,309.328
1920,2.66667,3.51404,309.338
1930,2.68056,3.5125,309.348
1940,2.69444,3.51096,309.358
1950,2.70833,3.50943,309.368
1960,2.72222,3.50789,309.377
1970,2.73611,3.50636,309.386
1980,2.75,3.50482,309.396
1990,2.76389,3.50328,309.405
2000,2.77778,3.50174,309.414
2010,2.79167,3.50019,309.424
2020,2.80556,3.49864,309.433
2030,2.81944,3.49708,309.442
2040,2.83333,3.49551,309.451
2050,2.84722,3.49394,309.46
2060,2.86111,3.49236,309.468
2070,2.875,3.49077,309.477
2080,2.88889,3.48917,309.486
2090,2.90278,3.48756,309.495
2100,2.91667,3.48594,309.503
2110,2.93056,3.4843,309.512
2120,2.94444,3.48264,309.52
2130,2.95833,3.48098,309.529
2140,2.97222,3.47929,309.537
2150,2.98611,3.47758,309.546
2160,3,3.47586,309.554
2170,3.01389,3.47411,309.562
2180,3.02778,3.47235,309.571
2190,3.04167,3.47055,309.579
2200,3.05556,3.46874,309.587
2210,3.06944,3.46689,309.595
2220,3.08333,3.46502,309.603
2230,3.09722,3.46312,309.612
2240,3.11111,3.46119,309.62
2250,3.125,3.45922,309.628
2260,3.13889,3.45722,309.636
2270,3.15278,3.45519,309.644
2280,3.16667,3.45312,309.652
2290,3.18056,3.45101,309.66
2300,3.19444,3.44887,309.668
2310,3.20833,3.44668,309.676
2320,3.22222,3.44445,309.684
2330,3.23611,3.44218,309.692
2340,3.25,3.43987,309.7
2350,3.26389,3.43751,309.708
2360,3.27778,3.43511,309.716
2370,3.29167,3.43266,309.724
2380,3.30556,3.43017,309.732
2390,3.31944,3.42763,309.74
2400,3.33333,3.42505,309.748
2410,3.34722,3.42243,309.756
2420,3.36111,3.41976,309.764
2430,3.375,3.41706,309.772
2440,3.38889,3.41431,309.78
2450,3.40278,3.41153,309.788
2460,3.41667,3.40871,309.796
2470,3.43056,3.40585,309.804
2480,3.44444,3.40297,309.812
2490,3.45833,3.40005,309.82
2500,3.47222,3.39712,309.828
2510,3.48611,3.39416,309.837
2520,3.5,3.39118,309.845
2530,3.51389,3.38818,309.853
2540,3.52778,3.38518,309.862
2550,3.54167,3.38217,309.87
2560,3.55556,3.37916,309.878
2570,3.56944,3.37615,309.887
2580,3.58333,3.37314,309.895
2590,3.59722,3.37014,309.904
2600,3.61111,3.36715,309.913
2610,3.625,3.36418,309.921
2620,3.63889,3.36123,309.93
2630,3.65278,3.3583,309.939
2640,3.66667,3.35539,309.948
2650,3.68056,3.35251,309.957
2660,3.69444,3.34966,309.965
2670,3.70833,3.34684,309.974
2680,3.72222,3.34405,309.983
2690,3.73611,3.3413,309.993
2700,3.75,3.33858,310.002
2710,3.76389,3.3359,310.011
2720,3.77778,3.33325,310.021
2730,3.79167,3.33063,310.03
2740,3.80556,3.32805,310.04
2750,3.81944,3.3255,310.049
2760,3.83333,3.32299,310.059
2770,3.84722,3.3205,310.069
2780,3.86111,3.31805,310.078
2790,3.875,3.31561,310.088
2800,3.88889,3.31321,310.098
2810,3.90278,3.31082,310.109
2820,3.91667,3.30845,310.119
2830,3.93056,3.30609,310.129
2840,3.94444,3.30374,310.14
2850,3.95833,3.3014,310.15
2860,3.97222,3.29905,310.161
2870,3.98611,3.2967,310.172
2880,4,3.29433,310.183
2890,4.01389,3.29194,310.194
2900,4.02778,3.28953,310.205
2910,4.04167,3.28707,310.216
2920,4.05556,3.28457,310.228
2930,4.06944,3.28201,310.239
2940,4.08333,3.27938,310.251
2950,4.09722,3.27667,310.262
2960,4.11111,3.27387,310.274
2970,4.125,3.27094,310.286
2980,4.13889,3.26789,310.299
2990,4.15278,3.2647,310.311
3000,4.16667,3.26133,310.323
3010,4.18056,3.25777,310.336
3020,4.19444,3.254,310.349
3030,4.20833,3.24999,310.362
3040,4.22222,3.24572,310.375
3050,4.23611,3.24116,310.389
3060,4.25,3.23628,310.402
3070,4.26389,3.23107,310.416
3080,4.27778,3.22549,310.43
3090,4.29167,3.21954,310.444
3100,4.30556,3.21319,310.458
3110,4.31944,3.20643,310.473
3120,4.33333,3.19925,310.488
3130,4.34722,3.19167,310.503
3140,4.36111,3.1837,310.518
3150,4.375,3.17534,310.534
3160,4.38889,3.16663,310.549
3170,4.40278,3.15762,310.565
3180,4.41667,3.14833,310.582
3190,4.43056,3.13883,310.598
3200,4.44444,3.12916,310.615
3210,4.45833,3.11937,310.632
3220,4.47222,3.10951,310.649
3230,4.48611,3.09964,310.667
