time [s],capacity [A.h],voltage [V],temperature [K],q_total [W.m-3],q_ohmic [W.m-3],q_irreversible [W.m-3],q_reversible [W.m-3],Q_total [W],Q_ohmic [W],Q_irreversible [W],Q_reversible [W]
0,0,3.96121,298.15,106542,26217,80324.7,0,2.19712,0.540651,1.65647,0
10,0.0277778,3.89184,298.671,111223,35109.1,76113.8,0,2.29365,0.724025,1.56963,0
20,0.0555556,3.86429,299.209,115687,41427.6,74259.4,0,2.38572,0.854327,1.53139,0
30,0.0833333,3.85048,299.759,119386,46242.3,73144,0,2.462,0.953616,1.50839,0
40,0.111111,3.84055,300.319,122442,50052.5,72389.7,0,2.52502,1.03219,1.49283,0
50,0.138889,3.83095,300.885,125006,53183,71823,0,2.57789,1.09675,1.48115,0
60,0.166667,3.82061,301.456,127178,55834.4,71344,0,2.62269,1.15143,1.47127,0
70,0.194444,3.80946,302.029,129007,58118.2,70888.4,0,2.6604,1.19852,1.46187,0
80,0.222222,3.79786,302.603,130499,60084.7,70414.1,0,2.69117,1.23908,1.45209,0
90,0.25,3.78622,303.176,131648,61753.2,69895.1,0,2.71487,1.27348,1.44139,0
100,0.277778,3.7749,303.747,132457,63138.7,69318.2,0,2.73155,1.30206,1.42949,0
110,0.305556,3.76413,304.314,132945,64264.3,68681.2,0,2.74162,1.32527,1.41635,0
120,0.333333,3.75405,304.875,133152,65162.2,67989.4,0,2.74587,1.34379,1.40209,0
130,0.361111,3.74469,305.43,133122,65869.2,67253.3,0,2.74527,1.35836,1.38691,0
140,0.388889,3.73605,305.978,132906,66421.6,66484.5,0,2.74081,1.36976,1.37105,0
150,0.416667,3.72807,306.517,132547,66852.2,65694.8,0,2.73341,1.37864,1.35477,0
160,0.444444,3.72069,307.048,132084,67189.1,64894.4,0,2.72385,1.38558,1.33826,0
170,0.472222,3.71386,307.57,131546,67454.7,64091.7,0,2.71277,1.39106,1.32171,0
180,0.5,3.70751,308.082,130960,67666.8,63293.2,0,2.70068,1.39544,1.30524,0
190,0.527778,3.70159,308.586,130343,67839,62503.7,0,2.68795,1.39899,1.28896,0
200,0.555556,3.69603,309.08,129708,67981.5,61726.7,0,2.67486,1.40192,1.27294,0
210,0.583333,3.69079,309.565,129067,68101.9,60964.7,0,2.66163,1.40441,1.25722,0
220,0.611111,3.68583,310.041,128425,68206,60219.3,0,2.64841,1.40655,1.24185,0
230,0.638889,3.68111,310.508,127789,68297.8,59491.4,0,2.63529,1.40845,1.22684,0
240,0.666667,3.67658,310.966,127162,68380.4,58781.6,0,2.62236,1.41015,1.2122,0
250,0.694444,3.67223,311.416,126546,68456.1,58090.2,0,2.60966,1.41171,1.19795,0
260,0.722222,3.66801,311.857,125944,68526.5,57417.2,0,2.59723,1.41316,1.18407,0
270,0.75,3.66389,312.29,125355,68592.7,56762.5,0,2.58509,1.41453,1.17056,0
280,0.777778,3.65986,312.715,124781,68655.6,56125.7,0,2.57326,1.41583,1.15743,0
290,0.805556,3.65588,313.132,124222,68715.8,55506.5,0,2.56173,1.41707,1.14466,0
300,0.833333,3.65193,313.541,123679,68773.8,54904.7,0,2.55052,1.41827,1.13225,0
